txt,offensive
"vocês sabem que o pcc é, assim como as farc, um grupo de narcotraficantes de esquerda, certo? quando eles sequestraram o repórter da globo, as exigências eram mais direitos humanos e condições melhores para os traficantes nos presídios[1], aliás, o vice-diretor do conselho dos direitos humanos foi preso por suas ligações com o pcc[2], e eles frequentemente hasteiam bandeiras se botando como oprimidos.[3] não só isso, eles sempre foram um grupo anti-capitalista, tendo planejado um ataque terrorista à bolsa de valores, símbolo do capital financeiro e do capitalismo[4], bem como possuem uma rixa histórica com o governo do psdb[5], que um dia já representou a ala mais moderada da direita no brasil.[1] ?v=vgssmiwmc7q[2] [3] [4] [5]",1
Muda pra Gata ou Musa do Figueirense. Tudo a ver https://t.co/QSc8bZTFaG,0
">>56636perdoem os erros. fumei hoje depois de mais de 6 meses sem fumar. estou sozinho em casa e estou com medo de alguém chegar e me flagrar aqui. está chovendo, fiquei pensativo e só fui escrevendo. era pra ser só sobre uma mulher perfeita e foi uma fodendo reflexão sobre a minha vida. acho que seria isso que eu contaria pra um psicólogo, caso tivesse coragem de me expor assim pra alguém.",1
"ronaldo fenômeno marcou 62 gols com a camisa da seleção, 15 deles em copas do mundo, 2 desses 15 na final contra a alemanha em 2002.

é disso que estou falando.

percebem a diferença abissal entre ele e jogadores que nunca marcaram gols em mata-mata de copa do mundo? ",0
RT @mvsmotta: Qual o motivo do chilique do Reinaldo Azevedo contra a Joice Hasselmann?,0
"anões, me ajudem.vou transar hoje porém não sei onde meter. onde acho a porra do buraco que meto o pau, sem ser o cu? acabem com meu sofrimento de ser um cabaço, por favor. eu peço pra ela abrir as pernas pra ajudar? a luz precisa estar acesa pra eu ver onde eu meto?não é shitpost, é um anão desesperado que precisa perder o cabaço, por favor, me ajudem.",1
bia tá doidinha pra me pegar,0
">24 anos>direitofag>passei no primeiro concurso público que tentei e ganho 3 salários mínimos>odeio meu emprego>penso todos os dias em dropar>não consigo estudar para outros concursos apesar de ter tempo>infeliz como a foda e recém chutado pela ex-fruta>posso contar com meus pais para o sustento mas eles já estão velhinhos>nem ao menos sei se deveria ter feito direitoo que me deixa mais puto é que eu sou um completo nada fora do direito, foi a faculdade que eu escolhi porque sempre fui bom em humanas, sempre fui bom em discussões, fiz toda a faculdade tirando notas altas e sem dependência, mas nunca encontrei outro talento fora disso.eu nem me importaria de dropar meu emprego, mas viver sustentado pelos pais por anos até passar num concurso bom, eu me sinto um merda só de pensar nisso.",1
em glee quando cantaram run the world e eu babei pela heather Morris nitidamente como eu nao sabia que eu era sapatao gente eu tombei,0
@ayaneol ainda acho que é,0
@baekxingay kskskskaks,0
@biaanazinha ata foi mal kkkkjf,0
"Essa é a imprensa que a esquerda chama de 'direita golpista'...
#DiaDaMulher https://t.co/kKsVlZN1Jz",0
eu tinha que almoçar,0
"anões, estive pensando muito sobre as eleições desse ano ultimamente, inicialmente eu queria apenas votar em branco mas agora estou pensando seriamente em votar no bolsonaro. no começo eu resistia a essa ideia por ele ser (((liberal))), porém, ultimamente me parece que a eleição dele pode vir a ser uma coisa boa, ele tem sim algumas ideias que de fato são boas(fim do desarmamento e militarização de escolas públicas) e mesmo se ele não conseguir realizar nenhuma das reformas que ele quer por conta de resistência da câmara, pelo menos isso vai engatilhar a esquerda e diminuir a crença do gado na democracia. apesar disso eu ainda estou bem indeciso, gostaria que me esclarecessem os benefícios/malefícios de sua vitória nas eleições.",1
"20 de junho, também conhecido como o dia em que sara ramirez matou as cadelinhas brasileiras dela ",0
">ain, por que a depósito faz xqi baixo, amigo. burrice e hormônios. qual a dificuldade de entender que a depósito é um ser burro e histérico, e que essa é a causa de todos os problemas que nós temos? vá lá fora na rua e converse com umas 10 pessoas, garanto que vai ficar sabendo de um marido traído, um fodido pagando pensão, um filho de mãe solteira largado na frente do pc. talvez você seja acusado de estupro e vá preso. por que isso acontece? porque alguma histérica de baixa inteligência ou fez o que não devia, ou não fez o que devia.a resposta é só essa, amigo. qualquer problema no mundo é por causa desses dois fatores. por que na arábia saudita o homem não cria porra alheia? por que no iêmen a depósito fica de boca fechada? porque nesses lugares o homem sabe que a depósito é burra e histérica. enquanto você não admitir que a depósito é histérica, burra e só faz merda, vai continuar sofrendo por ter esperanças que nunca se realizarão. não tem outra explicação, nem no mgtow, nem no conservadorismo, nem no cristianismo, nem no lookismo e muito menos no incelismo. a depósito é e sempre será merda, então onde ela for levada a sério também é e sempre será merda. se sobrarem duas depósitos no mundo, uma criará intriga com a outra. um forte abraço.",1
@anapntes @valehomossexual então achar gorda feia é falta de autoestima? Ataaaa,1
@ymalipa @patrciaedmunda1 @barbaraadeniise mandar no privado custa? 😂😂😂sua feitiçeira,0
">>61165duvido muito, nasceu em 1960 e poucos, cidade pequena e conservadora onde gays tinham que viver no escuro com medo de serem descobertos. sempre foi infeliz mesmo com meu pai ganhando 8k, me lembro de diversas vezes a ter visto chorar quando criança, ela simplesmente seguiu o rebanho, casou, teve filhos e adquiriu financiamentos.",1
"opinião: acho richard um jogador bem interessante. acompanhei a passagem pelo fluminense e tinha características boas. não deu certo no corinthians e não é brilhante, mas pode encaixar no elenco vascaíno.",0
as forças malignas da esquerda estão tentando dominar minha mente O QUE TA ACONTECENDO,0
"vamos lá:adolescente, trans e deprimida há 4 anos. me odeio em quase todos os aspectos. minha família é completamente disfuncional. dois avós sequelados, mãe com dependência química e que se acha a maior sofredora do universo, logo ninguém mais tem direito de ser triste a não ser ela; e todo dos outros familiares são hipócritas que posam de perfeitos. salvo raras exceções. todas as pessoas que já gostei na minha vida -propositalmente- me sacanearam. recebi um ""eu te odeio"" na lata, me ignoraram no pior momento da minha vida, já me abandonaram e esqueceram da minha existência, etc.minhas amizades às vezes também me sacaneiam inventando estorinhas as quais sabem que eu vou ficar mal para caralho. inventam normalmente coisas relacionadas as pessoas que eu gosto, indo logo na ferida aberta. sem contar que minha melhor amiga é uma degenerada que já espalhou mil e uma mentiras sobre mim. algumas, absolutamente repugnantes.tenho uma puta ansiedade social que eu constantemente tento vencer, mas sempre me fodo mais ainda. nunca consegui contato humano íntimo. nunca sequer beijei na boca. sinto cada vez mais que eu estou me fechando em uma muralha que nem eu mais consigo quebrar, com cada vez todo mundo mais e mais distante.as pessoas da minha sala são um bando de cornos escrotos. só querem saber de hedonismo e reclamar. o típico estereótipo insuportável de adolescentes.a pessoa que eu achava que iria me tirar dessa merda toda e me dar uma esperança, por ser a primeira pessoa que eu tive um relacionamento (virtual) acabou fodendo minha vida em níveis imensuráveis, porque os pais dele me colocaram na delegacia por acusação de pedofilia, sendo que ele não tem idade ilegal e era consentido. tomo remédio e me trato, mas parece que nunca adianta o suficiente. nunca será o suficiente, porque eu sou uma perdedora.some tudo isso com o fato de que eu tenho que fazer vestibular este ano.não sei pra onde fugir.",1
@ytrap7w7 @po0kachuu @firepines é triste mas é a vida nem tudo é de graça,0
">>60244>em uma das vezes chegou a tirar ""sarro"" do tamanho do meu pauoh wow, para mim isso já seria cartão vermelho. não sei como vocês aguentam esses relacionamentos abusivos.",1
"Download de cabelo afro pra the sims 4 = pra ilustrar a guria coloca um monte de sim branco e loiro.
MIGA..
QUE QUE CUSTA..?",0
samantha machado é uma rainha eh isto,0
"olha aí! O que sempre digo:
- repete o mesmo chavão que a militância manda.
- xinga o oponete
- não refuta nada do _ https://t.co/o9JLhALq1x",0
">>62753eu estou tentando comer ela, mas tá complicado. ela é virgem e está complicado até de eu passar a mão na buceta dela. essa porra tá muito estranha, acho que vou pagar a foda fora.",1
@5gu E gordo sente frio?,1
RT @belongtocarey: Façam zoom no pescoço do Éder https://t.co/1EbyFKcxvy,0
@gohcar tradição 😊,0
muito triste com a uber,0
">>60007pera lá, você disse que a altura dele não é um problema? explica essa porra aí, anão.",1
">>45297arranje algo para fazer, ora bolas. also, simplesmente não bater/não assistir pornô não é suficiente. isso não é recuperação, é abstinência. pare de pensar em putaria a todo momento, aprenda a odiar a punheta e a pornografia. e lembre-se: os três primeiros dias são os mais difíceis.",1
Palavra do dia que homem que é homem não diz: Fragrância.,0
>>62933a única forma é parando de sentir ciúmes.,1
"anões, fico muito aflito sabendo que a minha pitanga teve mais parceiros sexuais que eu, até considerei trair ela ao ponto de igualar/ultrapassar o número, porém, não sei se sou capaz. me dêem uma luz, sempre que penso nisso fico louco e enraivecido.o relacionamento vai muito bem, e gosto muito dela, mas não paro de pensar nessa porra.",1
"caralho, anões, dei um match com uma esquisitinha!organiza, organiza, como eu faço para estar com a língua no cuzinho dela nesse final de semana?me dêem um plano de ataque, pelo amor de deus, não faço ideia do que dizer/fazer.",1
@maiconkusterkkk no caso o trapper é o maicon,0
">>25897>não manjo muito das manjarias, mas ao que parece, ele foi sem dúvida um dos maiores gênios políticos deste país. até sua morte foi uma manobra genial.>um post claramente com a única intenção de sinalizar que respeita a figura em questão, apesar de admitir que não o conhece>giria do cancromas que câncer essa board se tornou.acho que está na hora de abandonar navio.",1
">>30122mas ser um individualista turbinado como você descreveu no texto não vai na contra mão do ataque na nz? o tarrant fez algo, o manifesto dele é puramente social, foge por completo de uma perspectiva individualista. eu pensei que ""acelerar"" seria implodir limites existentes no mundo ocidental a partir de atos sociais destrutivos camuflados de instrumentos considerados válidos por esta mesma sociedade (politicamente correto, liberalismo de costumes e econômico sem freios, relativização da verdade, inversão de conceitos morais e religiosos, de gênero, etc), de modo que um número grande e sem controle desses atos faria com que a ""barreira cultural"" de um sociedade moralmente enfraquecida se esfacelasse, assim, sem essa barreira hipotética, haveria uma invasão maciça de elementos externos que se aproveitam da ausência de meios de defesa eficientes - como exércitos com mulheres e transexuais, famílias sem unidade, sociedade apatriótica, secularizada e sem sinais de reação, sem valores morais e religiosos. disso, desta destruição, surgiria algo ""novo"", que poderia ser um status quo com barreiras mais espesas ou um reação a esse inimigo externo que posteriormente, aprendidos cos erros que causaram o grande caos, surgiria um nova barreira, igualmente mais resistente.considero isso uma visão mais biológica do que a sua, anão, que a meu ver é mais humanista. bem, é um entendimento meu, pois ainda tenho dúvidas.",1
">>21959mais alguns. esse é ótimo para entender a mentalidade destrutiva da esquerda pós-moderna e como ela não se sustenta:, gramsci, foucault, györgy lukács, sartre, louis althusser e j. k. galbraith e em seguida faz duras críticas.outros, mas inglês:(the meaning of conservatism)(roger scruton on internationalism)(culture matters)",1
@RuiHCruz A Marina é muito nova para ti,0
Não é o próprio governo ao estar sempre  a falar disto que causa mais ruído?? https://t.co/LR5O6Az65T,0
Meu Deus !!!Que procuradora sem noção. A justiça no Brasil é um lixo mesmo.Quem nomeia esses idiotas? https://t.co/lLdK49UyZg,1
"boa tarde! preciso retweetar, poucas mostra o rosto
@andarilhogp @ruivodivulgador @gpoogle_brasil @brazilian_nudes @gp_brazil @tuliopromoter @stop29664055 @retweetgostosas @homemadmirador @tuliopromoter @divulgadordegp @lovesafadas @adultbrazil2 @swo2212 @adultbrazil @divulgaspsp ",0
"Sanções poderão ser aplicadas contra os Estados-membros da União Europeia que se recusarem a receber refugiados,... https://t.co/GyOGfFj70W",0
tay fez um verdadeiro hino pop e gay ao mesmo tempo.,0
">>56196esses caras geralmente não sabem de porra nenhuma. é 2018 e você tem internet, vai se dar muito melhor sozinho do que pedindo ajuda a alguém que não tem interesse real em te ajudar.",1
"o problema dessa lógica darwinista é que ela não se aplica à sociedade contemporânea da mesma forma como se aplica para o estado da natureza onde a humanidade evoluiu. o ""chad"" pode ser o indivíduo mais evolutivamente adaptado para fecundar várias fêmeas, mas do ponto de vista da convivência harmônica em uma sociedade civilizada, esse tipo de comportamento que as depósitos de porra preferem nos homens, como agressividade, violência, demonstrações verbais e não-verbais de dominância, etc, são deletérios para o bom convívio. inclusive é por isso que as religiões buscam controlar a sexualidade feminina. porque se as deixarem soltas para escolher como querem, vão ir todas para o haréns de bandidos e outros homens violentos e degenerados, e isso, é claro, incentiva o crime. apenas pense para quantos traficantes essa conservadia não deu quando era mais jovem, para agora vir se fazer de pura. essa é a realidade que toda religião interpreta de forma mística, a depósito de porra fecha com o mal, sempre. eva fechou com a serpente, pandora abriu a caixa que liberou o mal no mundo, toda mitologia tem a sua história de depósitos de porra trazendo a maldade para a terra.",1
"a gente não amadurece mais rápido, a gente é sexualizada mais cedo. enquanto moleque de 12 anos tá jogando bola de boa na rua com os amigos a gente tá recebendo cantadas e olhares de homens que tem idade pra ser nossos pais/avós. 

espero ter ajudado. ",0
"ESTAR ACORDADO
SÁBADO DE MANHÃ
ISSO QUE SEPARA NÓS
(POVO HONESTO E TRABALHADOR)
DELES
(VAGABUNDOS DROGADOS E CORRUPTOS)
BOM DIA BRASIL
#PAZ",1
eu vi gente que falou que ia aproveitar o feriado pra ,0
"Quanto amor meu deus  
09/03/17 10:12:01: Sapatao : Fala amor da minha vida. Meu coração fora do corpo",0
">>62953>não tenha pressa pra isso, quando for pra ser, vai ser.já eu acho que o quanto mais cedo o sujeito viver isso, melhor. o quanto antes ele desmontar certos sonhos e expectativas, maiores são as chances de, no futuro, o cara ter um relacionamento saudável para si mesmo.ninguém vai enfiar isso na cebeça do seu quotado. faz sentido ele querer viver isso. mais que tudo, pode ser necessário ele quebrar a cara em alguns aspectos para entender aquilo que quer. saber colocar na balança para ver se um relacionamento vale a pena.se guiar por experiências de terceiros só vai fazer dele medroso. com o tempo o cara se fecha em uma concha emocional para evitar de sofrer e a vida passa. é melhor se expor a isso quando relacionamentos não significam tanto e não afetam sua vida além do emocional.eu queria ter entendido o que me faz bem ou não mais cedo. de repente sou só eu mas éum conselho que eu dari a um filho.",1
"BRASIL ACIMA DE TUDO 
DEUS ACIMA DE TODOS
AMEM",0
reclama de racismo........mas e as cota hein miga? só privilégios,1
">>54886sim, o preço e a hora do efeito. o sildenafila é mais instantâneo, pra tomar e ir foder, não serve pra tomar numa noite e fuder na outra; já o tadalafila tem um efeito maior, é bom para aquelas incertezas, eu prefiro este, nunca me deixou na mão. já tive muito efeito colateral com o tadalafila e nenhum com o sildenafila.",1
">>62129caramba, anão, você é burro. o ponto não é ""tranza mt"", isso nunca foi problema para mulherada. para uma depósito de porra arranjar uma fornicação, basta ela não ser um goblin e estar motivada. o ponto é: com quem? e é muito inocência achar que os chads paudetrovão vão deixar de fornicar uma novinha com os hormônios transbordando, para ficar com uma balzaquiana de teta muxibenta que toma colágeno antes de dormir.  até porque o ponto dela não é mais ""tranza mt"", é achar um idiota que pegar o boneco pra criar, pois perceberam que não está fácil como era antes. não tem mais entrada de graça no carrossel.",1
"@presidenbr sérgio moro usou de um ato de inteligência: se auto-convidou para esclarecimentos e deixou o grupo de congressistas, todos na lava jato, mostrar quem realmente são; detalhe: em cadeia nacional, tudo grátis, se auto-destruiram!!! jogada de mestre!!! chorem!!!",0
">>60219digníssimo anão, é importante você saber que, mesmo se iludindo, você é completamente incapaz de abalar o meu mundinho com esse seu raciocínio raso e infantil, tanto achismo, egocentrismo barato e carência de auto estima verdadeira.filho de mil putas, eu vivencio isso no meu dia a dia. você apenas fala, fala como se fosse minha fruta e andasse comigo. como eu disse anteriormente, conheço inúmeros casos de feios/gordos/manlets que pegam geral.o baiano pixaim relatado, semana passada, ganhou um cool de presente de aniversário da porra de uma advogada alta e branquinha que conheceu a menos de 20 dias numa happy hour.é simplesmente criancice eu ficar aqui contando causos de feios/gordos/manlets que tem sucesso com depósitos com as mais variadas táticas e principalmente suas auto confianças estelares, sim, auto confiança acima do caralho do everest. além disso é contra producente para todos um gordão alto com rostinho bonito ficar lendo contos eróticos de terceiros no /escória.pobre anão, admiro seu afinco em se auto sabotar pelo fato de ser bonitinho de rosto ou não ser um manlet, porém mais cedo ou mais tarde você entenderá (a duras penas) que tudo o que importa para a maioria das depósitos é um homem ter verdadeira e inabalável auto confiança.essa tipo de segurança desenvolve-se com o tempo, a prática da vida e o auto desenvolvimento pessoal. entenda, nobre bazingueiro, ser bonito de rosto e ter altura maior que 1,85m é um belo cartão de visitas e vai facilitar muito sua vida, mas a verdadeira auto confiança, o homem saber o que quer e ter segurança plena nas suas escolhas é o que realmente atrai depósitos como um imã de neodímio.com o tempo e a experiência adquirida (se você for digno de entender e aplicar) vc vai ver que atrair depósitos é ridículo de fácil, o verdadeiro desafio do homem é formar, manter e melhorar constantemente um harém respeitável. no auge dos meus 30, após anos de falha, eu tenho o meu.vai lá com seus lábios de mel, seus olhos azuis e seu 2m de altura beijar adolescentes e contar para os coleguinhas seus feitos de rapaz bonito.",1
"não sei se é o fio adequado, mas alguém aqui já teve hpv (que se manifestou através de verrugas genitais)?há alguns meses a vagabunda da minha ex me mandou mensagem após terminarmos dizendo que eu deveria ir no médico, já que ela tinha começado a manifestar sintomas de hpv (verrugas genitais).eu não dei uma singela foda, já que não tinha nenhum sintoma em mim.acontece que há cerca de um mês umas ""bolinhas"" tem aparecido na minha região pubiana, então fui no médico (rede pública), contei pra ele a história e ele disse que as bolinhas pareciam hpv mesmo, então ele queimou com ácido e meio que me tranquilizou sobre a normalidade disso.acontece que eu quero eliminar essas putinhas da forma mais eficiente possível. eu li que o sistema imunológico limpa o vírus dentro de algumas meses até no máximo dois anos, mas nem fodendo que eu quero ficar dois anos sem transar esperando essa merda sair do meu corpo. parei de fumar, evito beber, e tenho me alimentado muito melhor. tenho usado um liquido chamado podofilox também, pra complementar o tratamento.quero saber de vocês, que já passaram por isso (é impossível que não tenha ninguém, essa merda é extremamente comum) como se limparam dessa merda, quais tratamentos fizeram, o que funcionou, etc.",1
@gloriapires @memorial_gloria todas! ... porque elas são todas você!! muito amor glória! hope you got your tyre fixed and had a good rest of your journey!! 😘😘😘,0
>>28594gostaria de saber qual droga as feministas usam pra sair da realidade dessa forma. homem come qualquer merda que ver pela frente.,1
quem vai me dar os 3 últimos,0
"como resolver um problema de personalidade, anões?toda vez que eu vejo um filme, série, ou alguma merda eu começo a agir igual os personagem, na vida real eu roubo traços de personalidade/estilo dos outros. isso tem me afetado muito, assisti lúcifer e fiquei num autismo por uma semana que tinha pacto com o diabo, criei coisas na cabeça, alucinava, delirava e tinha vozes de demônios na minha mente, não acho saudável ser uma pessoa que é facilmente influenciável. sou usuário de drogas e adivinha como comecei? anos atrás pelo /high/, meu humor também oscila de acordo com o humor da maioria dos anões/ambiente ao redor. ás vezes começo a ler muitas conspirações, casos de assassinos, terroristas e me isolo completamente do mundo, começo desconfiar de meus familiares, de que a inteligência me monitora, na última vez dessa crise acabei por fazer um doxxing de uma oficial de inteligência residente no mato grosso do sul.como parar com essa merda e ser eu mesmo? me sinto um camaleão, já fui até em baile funks de favela ao interagir com favelados, já fui hipster amante da natureza por usar psicodélicos, já fui devoto ao catolicismo apenas por ter feito comunhão, etc. meu humor está estável hoje pois estou assistindo a série da pica relatada e me sentindo o don, me sinto confiante, larguei as drogas tem três dias e estou fumando cigarros, nem ao menos sinto abstinência química.",1
"vou te comer firme safadinha 😈 — que isso gente, cadê o respeito ? ",0
eu desenhei o chanyeol de monster misturado com o da unit chanhun ☆ ,0
"Vou ver se tem curso pra aprender a ser burra porque olha, tá difícil aturar essa raça que tem medo de mulher que sabe pensar. sifudê.",1
@camsrocha_ tu eh a coisa mais fofa amo suas figurinhas aaa vontade de te esmagar todinha,0
">>28281acho que você está fumando maconha estragada. o que aumentou foram as taxas de juros, em uma primeira resposta à desvalorização da moeda deles. coisa que, além de ""muh carga tributária"", também está na cartilha liberal.",1
">>29310ao bibi, sim. mas será que criticam a política nacionalista de israel? é importante lembrar que essa política precede o próprio benjamin…",1
"Uma #MulherDeVerdade prefere amor, tesão, envolvimento a preconceitos.",0
@natzeira @crlhtahor vamos jogar nós,0
Olha primeiro pros peitos das mulheres.,1
Falou 'populista' já sei que é da turma 'fake news' e RETARDADO! https://t.co/Dr87lJ0zBg,0
quando morarmos juntos💏❤ ,0
@Marc3lors Marcelo..assim foi o que a europa pensou..e está no CAOS pq deles. Sabe porque DUBAI não recebe eles ?pq da religião extrema,0
"@pppdias diarreia é o diabo querendo q vc faça chuca
vc vai permitir?",0
>>60086se tiver mais dúvidas só perguntar.,1
"A mãe do nóia disse que quer justiça
Fácil, prende ela",1
bora assistir!,0
querendo entender o odio do niall plmdds ,0
">28 anos, quase 29>casado>emprego medíocre, 1300 petróleras >já comecei e tranquei duas faculdades, estou na terceira>não tenho ânimo para estudar e nem trabalhar, me atraso constantemente>viciado em sexo, masturbação, pornografia…>moro com os paislevava uma vida relativamente medíocre, até começar esse curso. não estou conseguindo estudar, meu desempenho na faculdade é vergonhoso e no meu trabalho piorou. estou começando a ficar muito frustrado e isso tem me desanimado mais ainda. não me vejo fazendo nada ""grande"" no futuro, não tenho realmente gosto por nada. a única coisa que eu gostaria, seria uma casinha afastada das pessoas, num mato.",1
quanto mais cheias as cadeias melhor galera!!!!!,1
