instagram_comments,offensive_language
"E nós que podemos ter perdido uma Greta Thunberg cruelmente assasinada por #witizelassassino #witizelgenocida. Ághata nossa Menina Maravilha tinha apenas 8 anos seu discurso era apenas a boneca Mônica, mas quem poderá afirmar ao contrário que aos 16 anos trocaria Mônica pela bandeira de um mundo mais justo e sustentável.",0
Agradeça ao japa,0
"Por favor, poste quando entender mais sobre o tema. Tb possuo altas dúvidas. Contudo, viva a África 💜",0
Dilma chilena kkkkk,0
É UM MARGINAL!,1
Canalhas !!!,1
"#Haddadsim 👏👏👏👏💋😘😍❤️🙏 Inteligentíssimo, polido, educado, professor, poliglota, lindo...inenarrável! ❤️@fernandohaddadoficial",0
Pois é 🤔,0
Pirralha,1
Que nojo desta gente que se acha acima do bem e do mal! É o tipo que se diz representante do povo! Benê você é incrível! ❤️❤️❤️❤️,1
"Rapaz um ladrão vagabundo, sem moral desse, lixo falando uma coisa dessa do MORO HOMEM DIGNP E HONRADO!!",1
Ótimo,0
Estão dando muita atenção a essa deputada de mandato único.,0
Que cara CÍNICA,1
Seria tão bom se esses filhos do Bolsonaro ficassem calados para sempre!!!!,1
Safadona,1
Esse é o pastor que mais gosta do dinheiro alheio. Um crápula.,1
E a propósito... amo os dois! 😘😘,0
"Emocionante é bastante contundente a fala da Benedita da Silva. Precisamos muito falar sobre racismo. Lastimável a atitude deste coronel. Nos mostra como o racismo é sim estrutural, como a falta de respeito é brutal e como os policiais jamais deveriam ocupar cadeiras nas câmaras federal, estadias e municipal. Não tem preparo para tal cargo. Claro que não generalizo, mas o que até o momento temos assistido é a decadência desses que entraram no poder. Lastimoso termos representante do povo agindo levianamente.",0
"Eu estou no grupo dos 50%, super otimista.",0
Sera o maximo! Dois icones! Adooooro! 👏👏👏👏👏👏🙏🙏🙏🙏❤️❤️❤️❤️🇺🇸🇧🇷🇺🇸🇧🇷🇺🇸🇧🇷,0
Parabéns Excelência 👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻🇧🇷🇧🇷🇧🇷,0
Rei ARTHUR DECLARA: OLIMPÍADA do RIO FOI COMPRADA. É $Ó VA$ CULHAR que SURGIRÃO MAI$ CRIME$. #STFVERGONHANACIONAL #LulaChefeDeFACÇÃO #LulaMandanteDoCrime #ForaTraidoresDoBrasil🇧🇷,1
Eu tenho nojoooooo 🤮 desse homem,1
"Isso é fantástico, enquanto aqui no Brasil alguns políticos só fazem besteiras com relação a consciência negra, lá fora se valoriza a beleza da mulher negra 😍😍😍😍👏👏👏👏👏",0
🤢🤢🤢 Vala so merda!!,1
Nuuu arrepiei com esse discurso!!!!! 👏👏👏👏,0
Muita honra tua participação na sessão e recebê-lo na Embaixada da Polonia para um almoço! Grande abraço.. @bolsonarosp,0
Condenação para esse pilantra,1
Velho Babão,1
Ameaçou o Presidente? Tua credibilidade é zero🙂,0
EU AVISEI AOS BURROS E JUMENTAS QUE VOTARAM NESTE LOUCO 😂😂😂,1
Bandido gay enrustido! Pedófilo de merda!,1
"Poderíamos te ter como nosso presidente. Se dependesse de mim, estaria lá. Infelizmente o povo fez essa lamentável escolha.",0
Ridículo isso,1
Esse é o verdadeiro futuro!! O melhor caminho para os nossos jovens!!👏👏💪,0
Eu fico sei lá onde com tanta beleza junta. Ela é linda demais.,0
Ah votei bolsonaro mas nao vou fica apaixonado nao blz,0
Homenzinho de última!,1
"Meus olhos doem demais quando leio oq esse bobão fala, socorrrro",1
Nojo desse verme!,1
A ânsia de culpar Bolsonaro é tanta que recorrem a mentiras,1
👏👏👏 Que príncipe esse meu Futuro Presidente do Brasil.,0
#globosta,1
Toma lhe cadeia seu velhaco,1
Mas gente vamos deixar! Haddad já foi contemplado! Agora o resto da esquerda vai em cana! Eles vivem de publicar Fake News!,1
"Essa imprensa suja e nojenta, criminosa, estamos fartos disso.",1
"Manu, acredito q nós permitimos essa objetificacao, o dia q pararmos de participar e andar nesses padrões, aí a coisa muda.",0
Que mulher maravilhosa! Representatividade o nome.,0
Boa noite meu amigo fica com Deus de lenbarsa a meu querido amigo lula liver deus abençoe a todos vocês,0
Nem sei mais o que falar.,0
Vagabunda! Joice safada!,1
VIVA BOLSONARO 🇧🇷🇧🇷🇧🇷🇧🇷,0
"Com sempre, Lula só perde, o que NUNCA ganhou..... kkkkkkkk",1
@ledanagleoficial Maravilhosa! Não perco esta entrevista.#somosumexercitodebolsonaros #bolsonaropresidente2022,0
"É só isto que ele faz o discurso , é um cretino ladrão corrupto 🤮🤮🤮👎",1
parabéns pela conquista 👏👏 você merece querido por todos 💖,0
"@joicehasselmannoficial, a menina é uma PIRRALHA criada por adultos que tem interesse. É concordo com meu PR BOLSONARO...",1
Para de da ibope pra essa figura,1
Os bandidos puxando brasa pra suas sardinhas,1
Que jornalismo das coxas fake...globoxta!,1
Que homenagem Haddad e Paulo Freire 😍,0
"Bom dia Carla.comentei na sua pagina,sobre está tal de Bachelet,mas escrevi sem apontuação ficou um tanto esquesito,escrevi 👏👏👏 carla musa do psl,ai veio o meu comentario,descupa sou teu fá.",0
Parabens aos seus eleitores. Devem estar em eztase.,0
Sem vergonha trate do seu País o nosso temos Bolsonaro@,1
Agora a meta é prender a família miliciana e de brinde o 🦆!,1
Pirralha !,1
Esse aí nao vale nada,1
Absurdo chamar essa Maria Ninguém de “pirralha”. Não se deve elogiar e dar mídia a um papagaio ambulante 🦜,1
Bando de vagabundo!,1
Vixe PT vai tudo enjaulado Então.... são fábricas de fake News,1
#globolixo gosta de passar uma vergonha! 😂😂😂😂,1
Lindo,0
ORGULHO PRESIDENTA!!!!!!! 🔥,0
"O povo viu que o STF encontra-se institucionalizado por um corja chamada partidos dos trabalhadores, que ninguém trabalha 😂",1
#lulalivre❤️🙏,0
😡😡😡😡depravado,1
#globolixo👈👎👎👎👎,1
Não tinha nada melhor pra postar senhora? Chega né. Ja basta essa imprensa brasileira lixo e vc vem dar crédito a outras internacionais e principalmente notícias tendenciosas. Para q tá feio. 🤮🤢,1
E essas mulheres rindo????? Credo,1
Parabéns professor!👏👏👏👏👏👏,0
#maiatraidordapatria,1
"Estou começando a pegar ranço de vc @joicehasselmannoficial Eu te admirava porém vc está se tornando uma esquerdista cheia de mimimi faça seu trabalho e pare de criticar o Presidente, eu votei nele porque me representa, fala o que é e não o que a imprensa quer ouvir, o politicamente correto, se liga @joicehasselmannoficial",1
Bando de imbecil!,1
O que ele diz não se escreve.,0
Tem muito amor nessa foto 😍,0
Essa me representa 👏👏👏👏👏,0
O vôMITO é mesmo o satanás!!!,1
À vitória! ✊,0
Lula livre,0
Meu prezado PRESIDENTE Jair. Tudo nesta vida é com sacrifício e sabemos que apesar dos desencontros de idéias entre alguns parlamentares tudo concorre para o bem . Só uma coisa não deixe de fazer.... De acreditar em Deus e fazer o melhor .... A igreja está em oração pelo Brasil e por seus familiares e principalmente por vc presidente. A igreja ama o Brasil e a democracia brasileira. Abraços 🤗🤗🤗🤗,0
"Parabéns presidente,essa pirralha o que está fazendo aqui? Vai cuida do seu País pirralha. Sabemos que você é só fantoche. @joicehasselmannoficial você é a canalhice de pessoa Deputada. Você não mim representa.",1
"O que é isso, ???????",0
Deveria ter pena da Venezuela !!!!,0
Dupla imbatível nas argumentações inteligentes contra esse governo desgovernado que estamos pagando....aff,0
🤣🤣🤣 tomara!,0
Agora sim,0
Conversa pra boi 🐄 dormir!,1
"👏👏👏👏 Bolsonaro tu continua fazendo essas maldades, o povo brasileiro gosta você foi eleito pra isso pra fazer essas maldades, você Bolsonaro só não teve o meu voto, mas teve a chancela do povo brasileiro pra fazer isso continue Bolsonaro o povo te ama",0
Simbora. Vamos dar a liberdade ao nosso querido presidente Luiz Inácio,0
E que vai mais ser preso vai ser a esquerda.,1
Ansiosa pra assistir!,0
Eu só digo a Sra e maior que esses idiotas fique em paz seu coraçăo é puro,1
"A esquerda esta cada vez mais odiada e os politicos, EM GERAL, cada vez mais desequilibrados",0
"Maldita, quadrilha do PT é grande viu💩💩💩",1
Essa é pior que o pai.,1
discurso muito .mas ela se esquece que tem muita gente empenhado em salvar o planeta viu greta,0
🖖☀️Muita luz para todos!,0
Viva Freire!!!!,0
"Alguém tem que parar essa criatura,já passou do limite...loucura.",1
Parabéns Professor!!,0
Agora o panaca vai falar mal dos brasileiros do norte. É um imbecil.,1
"E direitos, fora bolsonaro",0
"Q ridículo. Usada por Soros, menina rica passeando pelo mundo com$ do papai, q traz de bom? Hipocrisia.",1
Bravo! ❤️🇧🇷,0
Piralha nem estudo tem e quer se meter em assuntos de nunca viu. E o pior é você dando moral pra esse assunto que desrespeita o presidente do nosso país.,1
"É verdade, porém existe um exagero, e eles não estão errados no que falam, o problema é que eles são os filhos do presidente, tem que evitar falar.",0
Emocionante! Finalmente uma boa notícia em um mundo que tá ficando tão bizarro! Parabéns!,0
Concordo com a Dra Janaína,0
Os dois não prestam,1
Isso é um LIXO.!!!! COMPROVADAMENTE!!,1
Misericórdia . Deus,0
Tamo juntas.,0
"Exemplo de@homem respeitável! Elegante, culto, educado ! E lindo💕",0
Que time.❤️,0
"Merecidamente, professor! 🔝",0
👏👏A saúde do planeta é urgente!,0
"Hahahaha eh uma piada. Que chicote, parou em 1888? Demagogia pura, como combateremos racismo com racismo, preconceito com preconceito?",0
Parabéns Professor!!! Merecido !!!⚘,0
Essa puta não tem dó da Venezuela???,1
O que está pessimista é o pessoal que fica escutando o jornal nacional,0
Hipocristão 😎,1
É um IDIOTA no poder.,1
Bem vindo ao Sul...,0
"Os Bolsofanáticos !!! É até bonito de ver... Quanta fidelidade ao mito !!! Pra vocês, o Bolsonaro está acima da lei e da ordem, ele pode fazer e falar o que quiser, e vocês dizem Amém Capitão, por favor coma minha mulher, ou, coma meu marido !!! Afinal ele pode tudo né ??? Imagino que o sonho de vocês é que isso realmente aconteça !!!! Vocês são piores que os vermelhos que gritavam por Lula Livre !!!! Sinto em dizer-lhes mas, a pirralha está certa !!! Que base o Bolsonaro tem pra falar de Meio Ambiente !!! Não se pode falar nada contra o clã Bolsonaro que vocês se manifestam !!! 🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️🤦‍♂️",1
"Bolsonaro, deveria abrir muitas escolas militares.Com certeza, as crianças seriam mais disciplinadas.",0
"Orgulho do CPM, já estudei em um colégio militar no interior da Bahia, e os valores que a corporação passa para vc e sua família é algo extraordinário! 👏🏻 @bolsonarosp",0
É isso! Mas eles acham q é perseguição pessoal,0
Deveria valer só para os DESGRAÇADOS DOS INFERNOS MINIONS,1
❤️ lindos!,0
Aí siiiiimmm. Gostei.,0
Não foi nada disso. Querem botar fogo no Brasil e temos que ter reação.,0
"O Lobão traira foi na Leda e só falou m.....estava doidão.ele olhava para um lado só,como se alguem estivesse alí.",1
Fica na tuuuuuuua Taffarel!!!!!,0
Esse ladrão tem que voltar pra onde ele nunca deveria ter saído,1
Muito bem Benedita! 👏👏👏👏👏👏👏👏👏👏👏,0
RUMO A UM PAÍS JUSTO E PRÓSPERO.ESSE É O BRASIL QUE OS BRASILEIROS QUEREM!!!!!🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷🇧🇷,0
Imprensa podre a Ministra Damares é protegida por Deus,1
Coitada da menina! Só estão usando ela para fazer raiva no presidente.,0
Quem...DATA FOLHA ??? Kkkkkk,0
ESSA jornalista SIM 👏👏👏🙏🏻🙏🏻🙏🏻🇧🇷🇧🇷🇧🇷,0
LIXO. Lixo iDIOTA.,1
"Quando falam de intervenção militar ficam de mi mi mi, mas só dão motivos né?",1
Verdade preso político.Armacao do Moro eda quadrilha dele,1
T R A I D O R A ! Ponto final !,1
Que jovem forte e linda!,0
👏👏👏esse é o Presidente que o Brasil precisa!!!,0
Vocês falarem em roubo é uma comédia. #ptcorrupto #ptlixo,1
Parabéns...muita honra ter um quadro ao lado do mestre PAulo Freire👏👏👏,0
"Amo esses tipo de comentários construtivos e de esperanças, graças a Deus o Brasil está em boas mãos",0
São financiados PELOS MILICIANOS BOSTANAROS. Jair e sua PROLE PODRE DE BANDIDOS.,1
Mó cara de cu essa mulher ficou depois😂😂😂😂,1
"@marcofeliciano e aí anjo, só pra eu entender: vc acha que é troxa assim, ou só seu eleitorado mesmo?",1
Siga em frente Presidente Bolsonaro! Afinal o que nos interessa é a IMAGEM DO BRASIL aqui dentro e não a que a Imprensa Internacional publica!,0
É bom para imagem do Brasil a Senhora ficar igual criança mimada que perdeu o doce tentando de todas as maneiras atacar o Presidente? Logo vc que era tão a favor dele....Hipócrita!!!!!!O Brasil acordou aproveita seu mandato que será o ultimo!🐍🐍🐍🐍,1
Super linda!,0
Artigo 142 nestes ratos corruptos STF bandidos safados vagabundos canalhas abutres crápulas do STF derrubar está corte criminosa do Brasil,1
revoltante.... asqueroso! @aleflamenco,1
"Sensacional! Aproveito para perguntar como anda o projeto de criminalização do comunismo, pois não aguento mais ver e escutar essa gentalha, adoraria vê-los enjaulados.",1
Pirralha mesmo!!! Tô com presidente! Ele é sincero!! A cara dele não mudou!,1
"Infelizmente, eh assim que vejo o atual “cristão”!",0
"👏👏👏👏👏...poxa vida eu tô chorando aqui...me sinto um lixo em carregar na pele essa historicidade em saber que antepassados cometeram esse genocídio....tenho vergonha em ser branco, quando vejo um lixo desses cometer um ato de total violência e desrespeito com os verdadeiros lutadores e lutadoras desse país...o povo que construiu o Brasil de cabo a rabo levantou no braço essa estrutura que vivemos hj....jamais estarei cem por cento feliz com minha herança que até onde eu sei se restringe a falta de melanina... como eu queria que o sangue da minha bisavó que era cabocla bugra tivesse sido mais forte do que do meu bisavô...mas não posso mudar o passado me cabe então dar todo amor a minhas filhas para se espelharem nessa mulher GUERREIRA que agora tem a fala... para que jamais compactuem com qualquer ato arrogante discriminatório!!!! Máximo respeito a senhora Banedita e sua luta, que também é minha, é de tod@s que acreditam no AMOR ao invés do ódio!!!!",0
Vamos derrotar os demônios malditos 🇧🇷👏🇧🇷👏🇧🇷👏,1
#forabolsonaro corrupto,1
"Hitler, Stalin e Donald Trump já ganharam tbm...",0
Esse Feliciano é um sujo carniceiro!,1
Parabéns 👏👏👏👏👏👏👏,0
"Que as palavras emocionadas dessa criança gigante possam, de fato, tocar as cosciências desses líderes de corações endurecidos pelo egoismo. 🙏",0
Esse bolsolixo é um canalha....,1
🙌 graças a Deus,0
Vai ser demais!!! Amo os comentários dele... sabe tudooo!!,0
A atoa lambedora saco de miliciano....A tonta apoia os assassinos de Marielle.Deixe ser escrota mulher,1
Nao tem argumentos?!?! Vc é um covarde.,1
Terrorista FDP,1
Você é um Diva meu Fer parabéns por todo,0
"Vc tá se fazendo de sonsa,vc sabe muito bem oque tá por trás da pirralha.",1
Depois de Prenderlo em Segunda instancia Mudam como Camaleão os segundasinstanciaentendumento dos Bolsonaro Moro colegiados GOLPISTAS,1
Cadeia aos racistas!,0
Esse é mais um lixo.,1
Nosso Brasil está no caminho certo!!,0
"Ministra, aceite minha total solidariedade!",0
"Seria mais correto fixar o salário mínimo em R$3000,00 primeiro.",0
Como sempre atrapalhando o teu pai. Nunca vi tanto filho atrapalhando o próprio pai como presidente da República. #calaabocaeduardobolsonaro,1
Filhos do Bolsonaro fiquem calados seus bunda mole.,1
"Super merecido! Parabéns, Professor! E obrigada por criar os Institutos Federais ❤️❤️❤️",0
Vc merece! Parabéns!,0
Maravilhosos 🤗,0
"Rapaziada , quem aguenta provocações pessoalmente , a semana toda , pessoalmente e em redes sociais é a Carla! Sendo assim, quem tá sentindo na pele é ela. Apesar deste tipo de postagem, nunca perdeu o foco no q importa e nunca deixou de trabalhar. Então relaxem.... Quando ela achar q já deu, ela para! Abraços a todos.",0
"Até que enfim ,alguém com mais ...juizo👏👏👏👏",0
Oh meus amores,0
"Os números da economia está mostrando o crescimento, aliás surpreendeu até a equipe do ministério da economia, vamos em frente👏🇧🇷",0
Tentando entender aqui pq uma solenidade (q alude à comemoração) à invasão nazista na Polônia????,0
"Ainda bem, q esses bandidos não estão mais no poder.",1
"Menina chata pra cacete! Imagine quando crescer, o pé no saco que não vai ser!",1
"Cara, essa Joice tá querendo ferrar com vcs junto com a ala Bivarista.",1
É uma cara de pau mesmo... 😡,1
Amooooooo😍🤩😍🤩😍,0
Meu Deus que perseguição é essa aos filhos do Presidente hein !!!,0
"Esse enbuste de satanas nao morreu e quer matar o trabalhador , inseto repuginante",1
"Pena que as grandes personalidades não apoiaram a nossa Miss Brasil, que levou um projeto empoderado e um traje típico em homenagem à Marta com um protesto contra a agressão doméstica. @juliahorta arrasou. A noite foi salva pela Miss SA que foi perfeita!",0
Lá vem a esquerda lacradora,0
Kkkkkkkkkkkkkkkkkkkkkkkkkkk Pepinhaaaa,1
Verme parasita🤮,1
Parabens👏,0
Que discurso emocionante! Parabéns Benedita 👏👏👏,0
Ate quando SENHOR vamos ter que Suportar noticias sobre (recursos) e mais (recursos) deste Criminoso IMORAL e COVARDE? NÃO SUPORTO MAIS VER OU OUVIR QUALQUER TIPO DE ASSUNTO AS OBRE,1
Piralha do ano !!😂😂 Vai pra escola para ser alguém por conta própria em vez de ser fabricada pela mídia mundial,1
#CalaEssaMatracaLADRÃOdosCofresPúblico,1
NAO TEM CADEIA NEN PRA VAGABUNDOS VAI TER PRA QUEM FAS FAKE NEWS ESSES CARAS ESTA DOIDOS.,1
Aqui na Bahia se chama CRENTE DO CU QUENTE,1
Ser repugnante #ForaBolsonaro,1
Nojo desses vermes.....,1
👏👏👏👏👏 VERDADE,0
"Cabra bom de peia esse VOMITEI.Tapa na cara ele vai levar do povo em breve nas urnas, quem viver vera!",1
Saudades do que não vivemos.,0
Isso é um imbecil!,1
Muito bom KKK,0
Maravilhosos dms,0
"Claro, e criança adolescente, mas tem postura de bruxa",1
Ninguém quer ou não tem coragem!,0
A briga de vcs so enfraquece o governo,0
Boa pergunta,0
Parabéns ! 👏👏👏,0
Aguardando ansiosa para ver essa entrevista. 😍😍😍😍😍😍😍😍😍😍,0
Interna essa coisa,1
Inimigo dos trabalhadores! Queremos Lula LIVRE JÁ,0
Um imbecil inepto ! 🤦🏻‍♂️,1
Então já pode prender o HADDAD NÉ!,1
Ícones!!! 😍,0
São esses bandidos,1
"E muito lixo que se acha nesse país,",1
"KKKKKK QUE NOJO MEI ASSASSINA MEIA CORRUPTA , MEIA NOJENTA , MEIA IMUNDA.",1
Que lindas bandeirasss 💖😍😍,0
Ate hj não entendo como elegeram um idiota daquela ao invés de um.homem culto como este,1
Quem não está com o governo me desculpe e corrupto,1
"Infelizmente o povo estam vendo e não estam tomando atitudes, temos que ir as ruas e para o país até que essa corja de vermes imundos saíam do nosso Brasil, temo que fazer com que a FAMÍLIA DE MELICIANOS BOLSONARISTA E TODAS SUA CORJA SEJAM PRESOS",1
Este Silvio Santos é um idiota não respeita ninguém só poderei apoiar mesmo este outro tal de bosta naro,1
"O satanás encarnado quer ficar livre da condenação p sitio de Atibaia, para continuar infernizando a vida dos brasileiros de bem .",1
Lindaaaaa!! Belíssima!! Maravilhosaaaaaaa!! Premiação bem mais bem merecida mesmo!!,0
Minha vó era pretinha mais tinha mais caráter í respeito au próximo humildade jenerozidadi doque muitos branquinho viva us nosso pretinho parabéns quê Deus abençoe vocês com muita união í país sejao feliz vocês mora nu meu coração í não paga aluguel Deus e fiel amo muito vocês 👏👏👏👏👏👏👏👏👏👏👏💟💟💟💟💟💟💟💟💟💟💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕💕,0
Isso é pastor do demônio,1
Um desgaste muito grande para o congresso nacional tem que ser punido severamente.,0
"Pra mim conta mais valor ainda, o discurso dela, o seu posicionamento firme e empoderado. Meus parabéns à essa bela (por dentro e por fora) MULHER!!! ❤️",0
Pura estupidez!,1
@valeriachaves3 Prima olha quem tá ali na foto.,0
Ridículo,1
E vcs roubaram o país inteiro... Idiota,1
Selva 🇧🇷,1
Não estamos nem aí para a opinião dessa PIRRALHA!!!!,1
Maioria? Kkkkkk,0
Essa massa merece,0
Deus é contigo ministra anjos estão guerreando por ti. 🙏🙏,0
Se provurarem nos discursos dos da esquerda vai encontrar muito mais a se o,0
Mas a Pepa é fichinha perto do Dick Vigarista !!! \o/ \o/ \o/,1
O Boçal como sempre abrindo sua latrina para espalhar merda.,1
Todos bandidos.,1
"Deixando de seguir, pq @joicehasselmannoficial so perde tempo implicando com os bolsonaros...3...2..1...fui!",0
Isso explica. Decadência do RS.. uma pena!!!,1
Com esses filho...O Presidente não precisa de inimigos !,1
"😕😕😕PARTIDO COMUNISTA DO MAL, ESQUERDALHAS DEMENTES, ANTIPATRIOTAS DO CARAMBA, LIXOS",1
Deixou a tola sem argumentos 😆😆😆😆,1
Kkkkkkk condenado por caixa 2 pqp nao da uma dentro,1
Pergunta mais idiota. Velho pervertido,1
Só vim ler o choro dos gado,1
"Esse lula é um demônio,tem que ser preso novamente 🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮",1
Só vergonha. Tomou papuda!!!!,1
A beleza dela transborda através das palavras que pronuncia.,0
"Concordo...boca fechada não entra mosquito...sabemos a verdade, mas na maioria das vezes precisamos nos manter em silêncio e apenas agir de forma coerente e pensada para não dar motivos para essa esquerda mesquinha hipocrita.",1
Lindos👍,0
Valeu Fachin,0
🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣💩💩💩💩💩💩💩💩💩🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮. Os três são farinha do mesmo saco!!!,1
O professores dela são da teledramaturgia da rede Globo de televisão!!,1
Esse bandido tem que voltar é pra cadeia😡😠,1
Isso é uma desgraça,1
Sigamos em frente! Jamais desistiremos!,0
Somos milhões. Somos fortes. 🇧🇷🇧🇷💚💚💚💚Pátria Amada Brasil,0
MEU DEUS!!!!! ESSE VERME TEM QUE SER CALAFO.,1
"Não aguentoooo, amo vocês ❤️",0
"Gente quantas maldades, essa história de que daqui a 10 anos o Brasil será melhor, é absurda , até quando os bolsominions, continuarão com o manterá a culpa é do PT, até quando essa lobotomia fará efeito, com uma receita de bilhões, deixada nos cofres e essa praga fascista usurpando , vendendo tudo e prejudicando somente os menos favorecidos, em favor de empresários e grandes fortunas ?",1
"Representatividade é tudo, que mulher!",0
Ainda temos toga de respeito graças a Deus. Não podemos generalizar,0
Meu Deus..que abominável este jornalista..força ministra estamos com a senhora.😭😭,1
Nojento e os baba OVO ainda batem palma cade o Conselho tutelar?? 🤮🤮,1
Porque a Imprensa nojenta não se manifesta ! A esquerda pode tudo né!? 😠,1
