text,offensive
Ue e o cheirinho que voces estavam sentindo era de que,0
GAYZINHOS DE BARBA SAO OS QUE MAIS ENTRISTECEM OS PAIS,1
presidio e lugar pro sujeito pagar seus pecados e nao ficar num resort de ferias,0
burro,1
Comparacao sem nexo Tyson passou quanto tempo no auge pra chegar a fazer isso e tu sabes o motivo  Tyson e um mito que infelizmente se perdeu no fim de carreira,0
Peco mais respeito por favor Falei,0
Bruno cria um cerebro e pensa,1
Bandido defendendo bandido Estranho esse papo,0
Gostei das mudancas Novas estrategias,0
Especialistas afirmam que a PEC nao e boa e a principal razao e porque ela nao ataca o problema real do rombo no nosso orcamento PAGAMENTO DE JUROS DE UMA DIVIDA QUE NAO E AUDITADA Foge da logica pagar juros de uma divida que mesmo com arrecadacao maior so cresce,0
Nem todo mundo mora em cidades meu Acorda,0
Flamerdas voces tem estadio  Entao nao tem PINICO proprio kkkkkkkkkkkkkkkkkkkk,1
JOao Ostral um idiota assumido Que beleza ,1
Entao va para la e aproveite case com um homem de la,0
Tem que cuidar para que esta bandida nao venda infirmacoes sensiveis do Brasil,1
Inveja matahhhhhhh,0
Melhor comecar cortando as despesas dele porque nao houve ate entao nenhum presidente que gaste tantocomece cortando a propria carne,0
Sera que ela discursou por la Dizem que ela fala espanhol sem sotaque,0
Aluisio tu es um verdadeiro idiota,1
NOS PEOCUPEMOS COM NOSSO PAIS ESTE ESTA SUJOOS OUTROSPROBLEMA DELESIGNORANTES,0
Sempre uma varzea Time pequeno e assim mesmo,0
nao importa de qual partido e a bandidagem e sistemica Enquanto ficarmos discutindo pardidarismo e comporativismo o combate a corrupcao sempre sera velado Forro privilegiado em pais com alto nivel de corrupcao e uma afronta a etica e a moral,0
Sem reforma tributaria e a do mercado da divida NUNCA cortarao da carne Juros da Divida publica levam cerca de quarenta e tres por cento do orcamento Os gastos primarios nao chegam a  por cento A PEC nao vai resolver nada,0
Deveria ser aplicada a etica de Aristoteles no sistema prisional  A justa medida,0
Mas ai o MBL mobiliza o povo e vai pras ruas  ironia,0
Mortadelas nunca entendem nadaKKK,1
Mais umo povinho idota,0
Cade Sergio moro podia pegar essa de sobremesa ,0
Todos sabemos e que por causa da pesquisa de ontem no qual ele poderia ser presidente em ,0
NAO ACHO NADA DEMAIS NESSE CUEVA SO FAZ GOL DE PENALTY,0
O Serra com  milhoes nada tambem,0
Vai chupar uma banana bixo histerico,1
Nossa Anselma bibona invejosa sem criatividade,1
Pode prender inocente  ,0
Marinho kkkkkkk so por que jogou bem ontem e ja merece selecao,0
Isso que esta na mao dela nessa foto por acaso e um baseado ,0
Vai ser preso antes do Natal,0
Sera que teremos tambem mais cinco anos de propaganda com o Clear men kkkkk,0
O PALMEIRAS VAI SER CAMPEAO  SEM MIMIMI MUNDIAL DE ,0
Junto com temer  idiota Sao as escolhas dos petralhas,1
Sonia o cartao corporativo do seu presidente ja bateu a casa dos R  milhoes em  meses,0
minha esperanca e que vc fosse um troll mas da para ver que vc e ignorante mesmo,1
Havia previsao entrar em plenario no comeco de novembro   E preciso aprovar o projeto de lei  medidas anti corrupcao com mais de dois milhoes de assinaturas   E necessario tambem preservar o conteudo original do projeto  ,0
dor de cotovelo das marias azuis borradeirasadoram a pagina do galo,0
sente o cheirinho do meu peido kkkkkkkkkkkkkkkkkkkkkkkk ,1
Jhalim Rabei ate fiquei assustado comecei a ler seu comentario pensei que ele Connorlevava os meninos para tras da escola e dava a bunda para eles KKKKKKK,0
Volta pra jaula sua macaca vou pegar meu xicote sua preta fudida,1
Cabra frouxo,0
MENOS UM MAS TEM QUE QUEIMAR LOGO O CORPO DELE ANTES DE CHEGAR NA PORTA DO NEM SEI E POLITICO MESMO  DO INFERNO,1
So denuncia mais prender que e bom nada,0
Idiota,1
FARRA DO BOI  LOGO LOGO VAI TER MAIS UM PEDINDO ANISTIASABE QUEM E NE  FAZ ME RIR,0
agora e do setor eletrico que ninguem quer investigar,0
So espero que ele recupere o bom futebol,0
essa noticia nao interessa a globo,0
Traz ele de volta e deixa ele escolher o tecnico ,0
CR ja ganhou a Copa America Nao Julio Baptista SIM  kkkkk  to aqui so pra zuar mesmo kkkk,0
Ze Ricardo vc e burro,1
Renato voce tem toda a razao temos de acabar e com aquele desgoverno passado tipo populista que ao inves de ensinar a pescar quer dar o peixe e com isso se perpetuar no poder a qualquer custo,0
sempre disseram que a ronda nunca pegou uma adversaria de verdade qdo pegou alguem que bate forte mesmo afinou ela vivia correndo da ciborg pq sabia que ia perder as vezes nem e medo de apanhar e sim de parar de lucrar ,0
SUA BATATA JA ESQUENTOU SEU BEBADO E LADRAO DO POVOCADEIA NELES DRSERGIO MORO ,1
Eu estava na ocupacao de escola e sai pra fazer o ENEM Sou esperto ,0
A progenitora dessa fezes esqueceu de dar descarga quando largou dentro do sanitario Obs ela nao usa calcinha,1
Nao pode ser serio o que acabei de ler,0
Mais um pobre metido a besta ja ja fica sem dinheiro e vai sentir falta dos bons tempos,1
foi lindo ver essa incompetente  cair igual Jaca madura ,0
Se os Uruguaios for na conversa dela vai acabar de falir tambem,0
E o CR ganhou tudo o que o Messi nao ganhou Choremmmmmmmmmmmmmmmmmmmmmmmmmmmm,0
Resumiu bem a opera,0
Melhor do mundo e o Messi aceitem este fato Ronaldetes,0
PRIMEIRO VAI APRENDER A ESCREVER IGNORANTE,1
Base  Com Ze nao tem vez So jogo la medalhao e jogador de empresario Politica dinheiro no bolso ,0
Porque nao corta os gastos dos politicos,0
TA animadinho porque rapaz APOSENTADORIA DESCONTADA EM  VAI PEGAR SEU VOVO TAMBEM AHAHAHAH,0
Mas ela nao parou de lucrar perdendo inclusive nessa ultima do valor total  foi o valor pago so pra ela,0
Ja fez programa hoje ,1
Isso nao e forca e falta de senso de ridiculo mesmo,0
Eu quero ver os batedores de panela e piscadores de luz de varanda Quero ver bem a cara deles,0
gracas a idiota Levandowhisky,1
desgracado bandido mais bandido ainda e quem vota numa desgraca dessa  eta povo burro ,1
O MOLUSCO VAI ACHAR A CADEIA SUPERLOTADA E PRA NAO DAR NA PINTA ELA COMECOU A VISITAR OUTRAS ANTES,1
So vejo os comunistas contra a PEC o resto q vejo sao todos a favor,0
Palmeiras nao tem mundial,0
o problema nem sao os salarios  O PROBLEMA sao as verbas eventuais  desembargador recebendo  MIL  e a justica e cega tem cara pedindo vista nao ta enxergando nadaou se faz de cego ne STF ,0
Esse boca mole tem cara de saco murcho,1
Ainda bem Murilo Temos de terminar a faxina e limpar o pais da esquerda lha Urgente,0
Raca de filhos duma pta Por que nao vao obstruir aquele gordinho ditador da coreia do Norte,1
A bixaria coxa ta no desespero ,0
BURRO ASNO TOPEIRA,1
e vc e analfabeta,1
Continuam espalhando as mesmas mentiras de sempre,0
Que moral idiota quase nem voltaram Kkkkkkkk,0
De tanto falarem em cheirinho perderam o olfato Rsrs,0
O certo seria bun da mole,1
Geraldo Gallo vamos protestar Amigo Vamos invadir aquele CT e quebrar tudo,0
E so ver o numero de dislike de seu coment inutil e ver que nao tem tanta moral assimPalhaco ,1
Seu idiota Flamengo nao vai pagar o salario do Conca integramente e ele  vai receber  so quando comecar a jogar fala besteiras nao,1
E a mesma denuncia burrao,1
ESTA ANTA  QUE ESTA AI AGORA SO FAZ CADA UM DE NOS SOFRER ENQUANTO  SE BANQUETEIA COM OS NOSSOS SALARIOS VAI EMBORA  E LEVA SEUS AMIGOS ANTASGOLPISTAS E SAFADOS COM VOCE,1
So uma pergunta O que seria do Real Madri e Barcelona sem os estrangeiros ,0
 SERA POLICIA FEZ PERICIA NO CARRO  ESTRANHO NE ,0
Depois que recebeu o premio agrado da Globo ta se achando,0
Essa velha deveria passear menos e agir mais Ate agora so conversa,0
Qual deles cade as denuncias,0
excelente jogador  sera titular ao lado do Jo,0
Errou Sou gaucho e tenho marido,1
DEMOCRACIA BANDIDA CUMUNISTA ASSALTANTE DE BANCO ,1
Esse e o meu presidente que venham as reformas e vamos trabalhar chega de mimimi ,0
quando sua me devolver o troco de R  pelo servico oral que ela me fez,1
E O QUE ISSO QUER DIZER MESMO ,0
os cariocas tem o que merecem um pessoal que so sabem toma banho de sol e pratica a violencia e nao deu outra de onde se tira e nao coloca um dia acaba,1
Voltaram so a fazer o que senpre fizerem Sao os defensores do povo lamentavel ,0
Aceita que a boquinha acabou doi menos  Vermelho so o ketchup,0
Em pontos corridos gritinhos de eu acredito nao colam rajkazblanks ,0
Ja ouviu algum dia falar em antenas nao essas aquelas de longo alcance Nao ne rsrs,0
Esses recursos vao sair de onde ,0
Entao ministra mais um motivo para instalar a pena de morte,0
e os parentes dos que foram mortos por eles,0
Carmen Capivara Lucia por favor me de o exemplo e leve meia duzia dessas vitimas da sociedade pra sua casa faca um coquete nele libere o anel de couro de refresco de groselha mostre que tem coracao ,1
Discordo em partes Mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios e regalias dos deputados senadores dos secretarios e do Presidente da Republica  diminua o salarios autos dos magistrados ai sim eu comeco a acreditar mais neste governo e no Brasil melhor,0
corta na carne nada temer aqui no rj o pacote de maldade deixa juizes politicos e sanguessugas que ganham mais de  mil por mes de fora dos cortes so ferra com pobre e aposentado sabem o que vai acontecer o povo vai acordar e dessa vez nao vai ter desculpa forca e muita pancada nos pilantras sanguessugas,1
o Brasil ta quebrado e temer esta emprestando  bilhoes ao FMI,0
Mauro e dementekkkkkkquem ta lutando por poder sao voces apoiando bandidos no poder,1
Engracado e que se voce disputar emprego com eles voce perdera,0
AdiANALdo  A prega no final continua firme e forte ,1
Vamos iniciar  levando porrada Essa molecada nao tem nem corpo Vao pipocar,0
Cortando a propria picanha no churrasco de domingo Deve ter faltado o churrasqueiro,0
E SERA MUITO BEM RECEBIDO PELO JUIZ SERGIO MORO,0
Porque que essa VAGAzBUNDA FILzHA DA PUzTA nao vai DAzR O CzU PRO CAPzETA,1
Olha se fosse assim ja tinham prendido e esquartejado o luladrao e kd ,1
Chola mais florzinhas,1
bi sexual ne e o unico bi que vo tem mane,1
Uma visita aos familiares vitimados por essa escoria sera louvavel,0
O asilo e pra ela mesmo ela nao esta nem ai para excompanheiro de palanque,0
uma mulher que destruiu a Petrobras destruiu a economia e enriqueceu as nossas custas,0
Que tornozeleira eletronica,0
Coloca os moleques no carioca pra pegar experiencia,0
morre desgracada,1
Alem de traira hilariona propria carne  KKKKKkkkkkkk,0
Na carne de quem carapalida,0
Entendam que a causa principal de tudo o que esta acontecendo na politica e com reflexos negativos na economia e obra do populismo que quando em seus  anos de desgovernanca so tinha um e somente um plano de governo Se perpetuar no poder a qualquer custo,0
La vem mais um afeminado Peta invadir comentario alheio Uiiiiiiii nojentaaaa,1
Jogando o milho e sentando no sabugo ne maria,1
esse balofo vai morrer pela boca ,1
Voces precisam pesquisar melhor a historia do campeonato de  ,0
VOCE E INGENUO OU UM PERFEITO IDIOTA ,1
Deve estar verificando a possibilidade de asilo para o Lu,0
Esse juizeco do Moro e  um canalha,1
Nao existe especialista em economia apenas aquilo que funciona Aumentar gastos publicos e exigir da sociedade mais impostos para cobrir os gastos de governo incompetente sao DURAS e INFLEXIVEIS Nao podem simplesmente querer aumentar impostos porque nao tem dinheiro pra eles gastar A sociedade tambem precisa de dinheiro pra estimular a economia A sociedade nao consegue pagar mais impostos entao nao podem aumentar os gastos,0
Para vai Saulo mim esses presos que estao la sao os mais perigosos do brasil,0
O Vitor Nastari  voce esta e com a cabeca cheia kkkkkkkkk  imagine   kkkkkkkkkkkkkkkkkkkkkkkkkkkkk,0
Nilsa Amaral eu sei A do  TEMER tem MORTE MAIS PROLONGADA  ANOS ,0
Dois mundias com uma libertadores ,0
O Pratto ai lado de Messi  vai deitar e rolar em cima da nossa selecao falida,0
Ja estamos tendo este cuidado o peso vai pesar sobre o real dela,0
Muitas denuncias muitas provas e pouca cadeia ,0
estao melando as calcinhas as tricoflorzinhas,1
kkkkkk ,0
Sera que o MAV consegue ler e falar paralelepipedo,0
VAMOS MASSA ATLETICANA LOTAR O MINEIRAO PARA APOIAR A ARGENTINA DE LUCAS PRATTO,0
Vai la lamber as bolas dele,1
E muita idiotice pra um cara so kkkkkkkkkkkkkk,1
SAO QUASE  SO PARA PAGAR JUROS DA  DIVIDA Uma vez que a reforma tributaria e PRINCIPALMENTE A REFORMA DO SISTEMA DA DIVIDA PUBLICA ninguem  se mexe para fazer  ja que contraria os poderosos que emprestam dinheiro ao Brasil alguns ligados ao FMI inclusive  mais facil por a culpa no trabalhador e nos programas sociais que nao representam  da fatia do orcamento,0
E tao retardada que foi comemorar o dia das bruxas no Uruguai em novembro,1
Esse modelo de Enem e enganar o povo que pensa que vai entra na faculdadeentra uns poucos o resto e tudo fraude,0
enquanto um presidente nao tiver coragem de propor acabar com TODAS as regalias e beneficios dos deputados e senadores  para mim ele continuara a ser um presidente qualquer Caso fosse  candidato reeleicao nao teria o meu voto,0
O que esta OPOSICAO esta conseguindo e atrair para si e para os proximos e o odio dos eleitores ,0
Eles torcem quanto pior melhor,0
Meus caros amigos enigmaticosNao deveriam comparalo ao Tyson Tyson e um grande mito do boxe  mas que deixou a desejar no lado pessoal  Entao se nao e bom no lado pessoal ou no profissional o cara nao e completo Chequei nesse raciocinio assistindo o Faustao       ,0
Estamos exportando mortadela Essa fica de graca  ,0
Ragnar e nome de travesti da Escandinavia,1
Rodrigo nao bagunce as ideias Uma coisa e uma coisa e outra coisa e outra coisa ,0
Ilegitimo Foi vc que votou no Temer Eu votei Aecio Quem colocou seu presidento no poder foi vc,0
verdade vamos ser compreensivos ,0
Adinaldo Bibinha,1
Andre noiado ver se diminue o fumo Ta dificil,1
Presidio superlotado  F  o  D a  SE eu quero saber e da fila  nos hospitais creche e em busca de emprego,0
Seriam grandes clubes afinal sempre tiveram jogadores nacionais que fizeram historia,0
Ezequiel Lugar de mulher e aonde ela bem entender se doeu toda pq falou VERDADES sobre o seu idoIozinho  MACHlSTA GAY chora nao,1
 indiciacoes em  semana ja pode pedir musica,0
A esquerda segue a passos largos rumo a quase extincao Continuem assim,0
Nao foram derrotados nas urnas FORAM VARRIDOS E eles sabem disso hehehehe,0
ela esta fazendo isso para aparecer Nao e gay coisa nenhuma E uma vergonha isso sim,1
ACHO QUE O AECIO NAO TELEFONOU PARA O JUIZECO HOJE TA DANDO PITI DE SAUDADES KKKKK,1
da vontade de por um aipim no rbbbbbbb,1
Mulambos subornadores paguem a Serie B,1
SEMPRE OS MESMOS NAO BASTOU AFUNDAREM O BRASIL E QUEREM MAIS,0
Bernardo Cabas   Os deputados federais ja estao se movimentando para anistiarem o caixa dois que existe ate os dias de hoje So querem condenacoes daqui por diante Estao quebrando a espinha dorsal da lava a jato que e a delacao premiada,0
Isso porque voce coloca rotulos nas pessoas,0
Deixa de ser ignorante Quem precisa de mudanca e o preso nao a vitima,0
Ei framengo vai ter que se contentar com o cheirinho de bosta do piscinao de ramos kkkkkkk  essa taca nao e pro seu nariz kkkkkk ,1
HAHAHAHAAHAHAHAHAHAHAH GAZELA DETECTADA,1
nem sou mas esse cara e um velho asqueroso,1
o que  assinaturas a maioria de laranjas o resto nao sabe nem por que assinou,0
Demorou so digo isso ,0
Aquela bocarra falando e cuspindo sem contar com um mau halito fetido Nojo,1
Joao Claudio lamento Minha resposta nao foi publicada ,0
Finalmente chegou  a hora de trabalhar pra ter as coisas nesse pais Ja estava me sentindo um trouxa de trabalhar pra poder comprar minhas coisas ,0
Quando falamos a verdade nao publicam Ainda falam em liberdade de expressao,0
Denuncias nao enche barriga precisa fazer valer,0
A historia nos ensina A se precaver do futuro A prova A Venezuela ainda estao fazendo vitimas para impor a ideologia genocida,0
Isso NUNCA foi dito miseravel idiota,1
Olha nisso tenho que concordar com o Joao melhor pagar um SM para um estudante do que para um presidiario,0
Me diga uma acao publica que nao tem fraudes neste pais A desconfianca e tao grande que fico querendo saber que e a pessoa de forro privilegiado que esta por traz deste esquema,0
Sabe o que eu acho engracado os nossos governantes  nao pensam em cortar regalias e beneficios desnecessarios que os favorecem porque sera ne e mais do que claro ate mesmo para quem nao quer enxergar eles sao estao la para defender seus proprios interesses  e os dos empresario o no casso eles tambem ou comecamos a tomar uma atitude para mudar de uma vez por todas essa roubalheira nesse pais o a tendencia e so piorar para o povo porque dinheiro para investimentos nao tem mais para aumentos de salario e regalias nao falta,0
e um monte de bosta mesmo no minimo e do norte ou nordeste que trabalhar que e bom nao trabalha vive do bolsa familia por isso vai votar no luladrao,1
Fizeram pericia nas pecas do carro,0
Tenho total condicao de dar minha opiniao enquanto liberdade de expressao me valer Enfim ,0
Tabarez digame com quem andas e te direi quem es,0
Uma so e pouco Besta ao quadrado ,1
Ta com mais moral que o presidento dos coxinhas kkkkkkkkkkkkkkk,1
Vai ser dificil a minha ha anos esta no ceu a sua ta na zona,1
Sao todos malditos Espero que morram logo e sofrendo,1
pele nunca vai ser melhor q esse cara,0
Olha ai um esquerdopata cmedor de alfafa me negativou  ,1
E isso  ai Rafael aqui esta  cheio de analfabeto querendo dar pitaco,1
Pq o Morosita recebe ordens externas A ordem nao chegou ainda,1
Saudade do Otamendi Ele e Gabriel seriam uma dupla de zaga sensacional,0
Foi dar uma olhadinha na conta dela e aproveitando vai ficar na casa do  dedos em punta,1
enfia o kit no teu cut,1
burro,1
Irao sentir na propria carne quando estiverem no inferno pagando pelo que estao fazendo,0
NAO E POSSIVEL QUE ESSE CARA VA CONTINUAR NO COMANDO  DO TIME EM   ,0
Bem vinda ao maior e melhor clube do planeta,0
Sao mesmo agitadores e so o que sabem fazer ha a tempo ainda sabem tambem roubar,0
IDIOTA APARELHADO,1
Queria ver ela indo pro Paraguai tomar outro calote kkkkkkkkkkkk,0
O gordao ainda fica rindo consegue nem ficar de pe,1
E as familias dos soldados e dos civis mortos pelas bombas dos terroristas so recebem xingamentos Esse pais so defende e da premios a bandidos,0
Esse MITO sabe tudo de futebol ,0
IDOLO DO FUDINENSE E SERIE B TEVE QUE ENTRAR NA JUSTICAO PRA NAO CAIR,1
DE GRANDE FLAMENGAYSTA SO GOSTA MESMO E DA TORCIDA AS RUBRONECAS NEM SE IMPORTA SE E TORCIDA PARA A ESQUERDA OU PARA DIREITA MAS TEM QUE SER GRANDE,1
ahh  esqueci vagabundo nao trabalha,1
Ela foi la para a limpesa semanal na casa onde o mula vai ficar escondido,1
Boca de buxeta,1
Idiotao E quem e o sabidao,0
Porque nao morre desgraca,1
O pais e rico mas com tanta roubalheira atraves dos seculos acaba quebrando de vez E essas medidas e para arrochar mais ainda o trabalhador E nao se enganem nao e so um partido que rouba,0
Tem que visitar nossas ESCOLAS e HOSPITAIS ,0
OS PRESIDIOS ESTAO OTIMOS O PROBLEMA SAO AS ESCOLAS E HOSPITAIS,0
O fato e que Nao ha um politico honesto no Brasil,0
Quer vida facilva rodar bolsinha na AvAtlantica ou na Vieira Souto Joao,1
o Flamengo sem motivacao nenhuma mete  x no santos,0
marcos voce nasceu assim ou bateu a cabeca quando era crianca ,1
ze vai cuidar do titulo   jogos  mexendo mal ,0
SE TITE NAO SE TOCAR MESSI VAI DEITAR NO PAULINHOBRASIL X,0
Fiquei chocado com essa noticia,0
Concordo pois ele e bom para montar time,0
Apelando nao compara com qualquer um ele joga Facil,0
Mano na boa como eu sabia A Ronaldete nao tem argumentos,0
Que fique por la essa ANTA,1
perfeito os garotos da base sao melhores que esses jogadores citados,0
Essa corrupta terrorista apresenta uma ameaca ao honesto povo Uruguaio,1
o cara e bom joga muito,0
Mais dinheiro desviado em   ,0
Finalmente ele vai ser preso,0
Mano na boa Valdeny as coisas nao funcionam que nem no seu mundinho nao,0
psicopata seu doido ,1
Nao teve nenhum penaltizinho pro inutil Penaldo bater  Ahhh poxa juizao,0
Falando em heranca sao  anos de PEC haja heranca pra deixar,0
Infelizmentehoje em dias e melhor ser arruaceiro e agitador no Brasil do que ser trabalhador honesto,0
Roberto o inteligente o mafioso Skaf pergunta Quem  vai pagar o pato,0
Bons tempos O Brasil TEVE bons tempos Entao me lembra ai por que eu nao lembro nao HAHAHA,0
sabe o que ela tem mais que nos Ela tem mais e QSF,1
ELA DESFILARA SUA ELEGANCIA BELEZAPELAS RUAS E AVENIDAS DO BRASILNAO SE PREOCUPEM,0
Esse asno ainda tem meu nome ta de sacanagem,1
Ficam um monte de mocinhas brigando por Messi e CR Virem homens,0
Curitiba esta mais esperta que voces pensam,0
Sera que agora ganha copa do Brasil ,0
Sabe onde esta o dedo que falta Socado na sua mae kkkkkk,1
Demente total ,1
Nunca houve um presidente que gastasse tanto melhor comecar pelas proprias contas,0
sai armario na mesma velocidade em que baixa a qualidade de seu futebol,0
vc e chacota bi da b sem mundial kkk,0
esse ze e  muito burro cara empresario corre solto e muita grana envolvida,0
Maycon ate admito que o negocio em si foi bom para o Fla mas atualmente nao acredito em nenhuma das duas coisas nem que ele va jogar bem e nem que o Fla levante alguma taca esse ano kkkkk,0
Vao ter que renovar o contrato do Sergio Ramos ate  tbm,0
Coisas de gentinha estao sempre fedendo a mortadela podre e nao tomam banho,1
Ricardo a sua desculpinha e de va  ga  bun  do Uma coisa nao anula a outra,1
Paulo cid mata baratas quando ele assinar o contrato depois de um mes ja recebe o salario integral ou vc acha que ele vem da china para o fra e vai ficar  meses sem receber Nao acredite em tudo que sua diretoria fala inocente,0
Os poderes estao  preocupados com bandidos  que tem de tudo que o cidadao onesto e renegado,0
Nao contratava mais medalhao o flamengo so gasta e gasta tendo os garotos da base,0
E O PIAUI QUERENDO ASSUSTAR O MUNDO COM ESTA FIGURA OU SO NASCE GENTE FEIA LA,1
Por que essa revolta Anderson Sua familia esta presa,0
ta nadando em dinheiro entao chamar de boca mole e o que menos importa e um ratao do banhado,1
o investigador investiga isso vcefdpta,1
