txt,has_anger
"aproveitando essa merda de fio, compartilharei uma reflexão que tive.pessoas como o mamão tem rostos que expressam coragem. tudo gira em torno do famoso olhar de caçador, no caso dele.não, não é exatamente lookismo, é algo mais.veja bem, o olhar do mamão expressa apenas uma dentre várias outras características humanas.muitos caras feios expressam muito bem a tristeza, outros a alegria, por isso conseguem ser mais engraçados.jasão mamão pode ser engraçado, mas ele é treinado em talk shows e todo mundo dá colher de chá por ser famoso. ele não conseguiria competir com um feioso com o pica relatada na questão comédia.não sei como concluir essa ideia. acho que o problema é o escravocetismo, todo mundo quer ser o caçador, ninguém quer ser o palhaço, o sábio, o doutor. ninguém tem bolas pra abraçar seu destino. nosso mundo precisa de outros personagens além de caçadores e reprodutores, não acham?",1
"eu só consigo atingir o orgasmo se tiver os mamilos acariciados enquanto fornico. achei que fosse só um fetiche horripilante que adquiri com o tempo, mas recentemente me veio uma memória reprimida de que fui abusado quando criança pelo filho mais velho do vizinho da época, que era viadão, e ele ficava justamente mexendo nos meus mamilos.",1
como vcs conseguem superar tão rápido uma pessoa ?,0
a minha mãe venceu o cancroo!! 💗😍👑 ,0
eu me arrumando pras férias mesmo sabendo que meu boletim ta mais vermelho que tomate ,0
"@oseveropotter @ginevramollywe1 nem é útil, vcs não perderam ninguém importante ainda",0
"caminhoneiros articulam paralisação total até que os projetos do governo bolsonaro sejam respeitados e aprovados pelo congresso e stf. 
você apóia a paralisação?",0
">>54886sim, o preço e a hora do efeito. o sildenafila é mais instantâneo, pra tomar e ir foder, não serve pra tomar numa noite e fuder na outra; já o tadalafila tem um efeito maior, é bom para aquelas incertezas, eu prefiro este, nunca me deixou na mão. já tive muito efeito colateral com o tadalafila e nenhum com o sildenafila.",1
"silêncio
jorge amado contando depravações em dona flor",0
a porta da casa dos meus pais tem tela pra mosquito dai a gente tirou pra limpar e o pitoko tá 100% bugado sem conseguir entrar ou sair mesmo estando um buraco vazio no meio da porta kkkkkk eu amo um cachorro ,0
"o instagram é o novo foguinho?vou reviver este assunto, pois o considero superimportante.estive pesquisando sobre a questão e cheguei a algumas conclusões, baseado tanto em evidência coletada por mim quanto em perguntas a especialistas. vou contar meu caso específico. até sou bonito, mas sou baixo. estou com bastante tempo de sobra, então resolvi assinar o plano gold no foguinho. sei como trabalhar minhas fotos, então acredito que fiz um bom perfil. consigo muitas curtidas. com meu primeiro boost, consegui 76 curtidas na primeira noite. as curtidas não pararam aí. sigo conseguindo uma média de 4 a 5 curtidas por dia. e as curtidas são boas, considerando que eu não sou uma pessoa atraente. umas 3 curtidas são de depósitos 6 e 7. beijáveis e comíveis. em todas minhas conversas, aplico somente duas rotinas prontas. as duas são traduções de rotinas elaboradas por puas gringos, as quais já foram exaustivamente testadas e têm a eficácia comprovada. com essas rotinas, consigo muitos números de telefone. com os números na lista de contatos, consigo marcar um número razoável de encontros. bom, eu faço bastante volume, de modo que consigo marcar uma média de um encontro por dia. ou seja, sou bem-sucedido nas curtidas, nos matches, na conversa dentro do app e na conversa dentro do zip zop. entretanto, enfrento um grande problema, que está me impedindo de transar. um número imenso de depósitos não comparece aos encontros marcados. elas sempre dão um jeito de desmarcar. ou é horas antes, ou é minutos antes, ou é depois que eu já estou lá esperando. as desculpas são sempre as mesmas: lembrei que tem aniversário da fulana, não vou conseguir chegar etc. isso porque dou prioridade absoluta a escolher encontros com logística simples. ou seja, marco um encontro perto da depósito e perto de mim.tendo em vista que eu tenho esse problema, fui pedir aconselhamento para puas gringos. eles falam que podem ser as fotos, pode ser a conversa. mas sei que não é nada disso. sou muito bom nesses aspectos. entretanto, tem um fator que eles levantam e realmente eu deixo a desejar. muitos deles têm falado “você tem instagram? por que não tem?” ==eu não achava que instagram era necessário, porque eu pensava com a cabeça de um típico anão.== pensava “o foguinho é um programinha que eu aperto uns botões na minha casa e vou foder. não sou descolado, mas consigo convencê-la que sou por meio da conversa”. então, eu diria que o foguinho continua sendo o melhor aplicativo que existe para descolar fodas. não, o instagram não é o novo foguinho. os dois são propostas bem diferentes. sendo assim, por que ter um instagram é tão importante para foder? porque vivemos na civilização do espetáculo. o anão médio não tem noção da importância do instagram na cabeça de uma depósito. o roosh esses dias estava comentando sobre depósitos que entravam em depressão após terem a conta do instagram suspensa por uns dias. anões, precisamos saber jogar o jogo. se não somos atraentes, devemos, no mínimo, mostrar que somos descolados. e, hoje, é impossível parecer descolado sem ter conta no instagram. se você não a tem, a garota vai desconfiar que você é um tosco morando no porão da mãe aplicando umas fórmulas para assediar mulheres na internet. infelizmente, instagram é um filtro por meio do qual muitos anões tentando se passar por descolados são descartados. tendo isso em vista, precisamos não somente ter uma conta nessa rede social, mas também saber como criar um bom perfil. essas são minhas conclusões. foguinho não é o novo instagram. os dois têm propostas diferentes. o primeiro conecta pessoas totalmente desconhecidas e tem como objetivo a foda. o segundo reúne majoritariamente pessoas de um mesmo círculo social, e seu objetivo é servir como um currículo da vida social de uma pessoa. todavia, não ter um instagram vai te atrapalhar no foguinho, pois é como ir a uma entrevista de emprego sem ter um currículo para apresentar. você não será lembrado. confiarão menos em você quando disser que fez isso e aquilo.agora, vou falar sobre “pescar” garotas direto no instagram. ou seja, sem passar no foguinho. fui pesquisar sobre isso e me disseram que essa tática já está ficando manjada demais. você corre um grande risco de acumular muitos sinais “falsos positivos”. ou seja, ganhar curtidas da garota, mas ela te enrolar eternamente e nunca sair com você. acredito que se você tiver alguma conexão prévia na vida real com essa garota as coisas se tornam muito mais fáceis. ou seja, conhecer a garota ao vivo e trocar instagram para tentar foder depois parece ser uma boa tática. mas sair igual a um louco tentando pescar desconhecidas não me parece fácil. parece-me que o foguinho continua sendo a melhor ferramenta para foder depósitos totalmente desconhecidas.",1
@lionfromaryn @chloeazambuja página amigável,0
"boa noite, queridos anões. não sei se é o fio correto.eu comecei academia no início do ano passado. fiz por uns 5 meses, segui de forma religiosa o treino (baseado no starting strength), comi quantidades absurdas de comida, tomava água, chegava na academia às 6h e voltava pra casa às 7h da manhã. estava tudo maravilhoso, eu me sentia bem. comecei pesando 59kg e depois desse tempo cheguei até 69kg e estabilizei ali.acontece que, por meio de uma ecocardiografia, descobri que minha válvula aórtica é bicúspide. além disso, minha aorta estava ligeiramente dilatada, possivelmente por causa dessa falha na válvula. parei os exercícios. dois cardiologistas: um me falou para viver minha vida normalmente. o outro, para evitar exercícios pesados, me alimentar bem e fazer ecocardiografia todo ano. estou seguindo este segundo.no entanto, sinto muita falta de algo para fazer. sempre fui muito magro e a academia estava ajudando muito nisso. mesmo tendo emagrecido e perdido boa parte do que havia conquistado, hoje posso falar que estou feliz com meu corpo, mas a sensação de vagabundagem é péssima.comecei yoga há cerca de um mês e estou gostando muito, não pretendo parar, mas queria complementar com alguma outra coisa. alguma dica?also, algum anão tem experiência com esse tipo de problema na válvula?",1
@falsibacon a gente nas fofocas amooooooooooooh,0
">>28782>qtp>brizolistas>não são socialistasvargas abriu as pernas para o eua por causa do processo de industrialização que foi alavancado por eles, tivemos até base militar americana em natal, entramos ao lado aliado ao invés dos do eixo, mesmo tendo um grande movimento integralista do país que foi suprimido pelo vargas, que depois da guerra ainda flertou com o socialismo marxista para se manter no poder.tomar no seu cu, macaco.",1
">>46885>>46885>>46885this, precisamos de produtividade para se livrar do vício.",1
tenho tanta coisa pra fazer e estou deitado como se não estivesse nada,0
eu com 8 anos assistindo marley e eu ,0
"meta do dia concluída, agora vou tirar aquele ronco porque mais tarde ",0
@seokperfectt talvez tens de estar lá no primeiro tempo ;-;,0
">>26364é, você sou eu há alguns anos atrás. digo, você tem a faca, queijo e a manteiga nas mãos! pois ainda é novo e vou deixar bem claro: quanto mais o tempo passar, pior será.no momento preciso fazer algumas coisas, mas talvez lá pelo final da noite eu volte aqui e elabore um texto melhor. aliás, quando a raiva surgir, pegue e deite-se na cama e fique respirando profundamente e imagine que toda a sua raiva é eliminada na respiração.",1
">>28759>>28759>fora que mesmo que o povão usasse o tor, não se esqueça que do episódio em que o daily stormer foi removido da rede onion pelas mãos dos próprios administradores dela. quando digo todo /pol/tard é mentiroso e o pessoal reclama….",1
light é isso ,0
os melhores momentos acontecem naturalmente,0
"meu último namoro me deixou 110% danificado emocionalmente, fiquei tão frio que até eu tava me surpreendendo. tava tudo bem, estável, transando sem compromisso algum, tava tranquilo. aí tenho que conhecer uma mulher da qual fui conscientemente amante, que mora em outro estado mas fica vindo muito para a minha cidade e que quer manter o vínculo de amante. só que o problema que acho que estou gostando dela. puta que pariu isso tá me desgraçando a cabeça, uma estabilidade que demorei muito para conseguir. que porra que fui me meter, e que chá de buceta que eu to levando.e o pior, eu não sei lidar com tristeza, então tudo isso vira ódio. e quando eu fico com ódio, faço merda, comportamento autodestrutivo, tudo isso porque sou um batata emocionalmente, apesar de ser muito bem ajustado socialmente. que cacete.",1
">>26044não sigo nenhuma.>>26024não foi uma promessa para algo negativo, a punição é algo negativo. tive o ano todo para procurar e tentar fazer algo: não fiz nada. já era, meu tempo acabou; estou sem amigos e a cada dia que passo fico louco. qualquer dia desses terei um infarto, porque é só tomar um susto que o meu peito já começa a doer, e eu me assusto com qualquer coisa - qualquer coisa mesmo.se eu não morrer de estresse ou infarto, morrerei de loucura. sempre a evitei porque o lado pensante sempre fora maior, mas estou começando a ter medo de dormir e achar que vou encontrar alguma coisa. isso é a síndrome do pânico voltando com tudo: medo de ter medo; medo de me assustar e morrer. tudo está indo ladeira abaixo. realmente não sei por quanto tempo manterei a sanidade. hoje qualquer um diria que sou normal, mas é só tomar um susto que eu já fico pirado da cabeça, e se algo acontecer frequentemente irá engatilhar e uma coisa ativa a outra e no final fico maluco.eu sou uma bomba relógio: um pequeno susto, uma lembrança do pequeno susto; um medo de tomar um outro susto, pensamentos sobre coisas que não existem, um delírio, uma alucinação etc.",1
">>61992cuidar de um animal que não seja você ou sua família é sinal de betice.agora, se é para ser honesto aqui, eu não defendo o casamento, e eu mesmo só casaria com uma depósito de porra mais rica que eu.agora, assinar relacionamento estável com divisão total de bens, ainda é algo seguro e uma boa ideia para qualquer relacionamento que envolva a depósito de porra passando muito tempo na sua casa.",1
">>61295obrigado pela resposta.é uma merda, anão. mas, não tem resposta pra essa pergunta, a dor você suporta até sumir.eu acho ela vazia por não ter grandes ambições no quesito pessoal e profissional. são muitas coisas singelas. para exemplificar:>estávamos no sofá e eu lendo o livro ""mais esperto que o diabo"" no kindle, ela pergunta o que eu estava lendo e eu respondo, tento explicar o livro de uma forma que ela entenda, mas ela teve uma reação de desinteresse misturado com um pouco de cringe. ai ela vai e me mostra no celular um gay x que se assumiu e vai se casar com um gay y, ambos são famosos no instagado, e ela começou a contar um pouco da história dos dois, eu ainda fingi interesse e ela parecia estar satisfeita com a atenção que recebeu porém, dias depois ela voltou a falar deles e tinha esquecido completamente da história, e ela explicou essa merda de novo, só que dessa vez no tom de ""você tá cagando pro que eu to te dizendo"">as vezes estou discutindo política com o irmão dela e ela corta o assunto pra fofocar sobre alguma coisa irrelevante ou faz algum comentário que não acrescenta nada ""ah, não vai mudar nada mesmo"">eu me importando se a economia irá deslanchar de vez e eu conseguir sair do meu atual subemprego e ela se importando qual será o hit do carnaval>a ultima briga feia que tivemos foi porquê eu estava conversando com uma colega de faculdade sobre o pink floyd, isso foi mais ou menos quando o roger waters veio fazer um show em bh, eu queria muito ir no show com essa colega, acabei que não fui, mas efim. minha namorada surtou de ciumes quando eu disse que queria ir, ela disse que era por causa dessa minha colega, e reclamou indiretamente do meu gosto musical por não gostar das mesmas musicas que ela.são coisas assim, não sei se deu pra entender, não sei se eu estou certo, se é puro autismo meu, se eu tenho algum tipo de complexo de superioridade ou algo do tipo. mas o que posso citar de coisas boas:>ambos católicos e eu acho que nem cogitaria namorar uma mulher que não fosse à igreja >relacionamento com a família é bom e isso me agrada bastante>eu vejo que ela se preocupa com minha felicidade, nas fases ruins do relacionamento ela é a pessoa que senta pra conversar pra resolver os problemas, se eu vou em algum lugar só para acompanhá-la, ela sempre enfatiza o quão importante foi minha presença, se eu estou triste ela tenta animar, chama pra sair, faz alguma comida que eu gostoenfim, eu sinto que ela de fato me ama, mas eu sei que, nas condições atuais, nunca casaria com ela. e não é isso que eu digo para ela, a gente tá com o outro com a perspectiva de se tudo der certo, iremos nos casar na verdade acho que isso nem é um ponto, todos os relacionamentos devem ser assim",1
eu amo como sempre parece que o nero é o mais alto quando na real o v é quase uma cabeça maior que o nero mesmo tendo escoliose k ,0
">>62100essas vagabundas neo-pagãs são piores do que conservadias neopentecostais.o paganismo prega liberação feminina e há toda um sincretismo com wicca (que é produto do paganismo), várias dessas vagabundas idolatram guerreiras vikings, e na sociedade viking o homem ao contrário de ser chad viril como prega o vag, era um corno que ao perder uma batalha tinha que aceitar a depósito dele escolhendo outro macho. era parte da cultura viking depósitos largarem seus maridos assim.conservadaias neopentecostais são vagabundas por trás das aparências, mas por fora pelo menos ainda tem todo aquele papo de submissão ao marido. toda neo-pagã é feminista e tem um passado absolutamente degenerado, só ver a sinead mccarthy.",1
amizade é pra quem nunca dormiu junto❗🔥,0
>>28745>>28748jeff bezos se viu obrigado a virar um fantoche do judeu depois que a ex-depósito de porra dele arrancou mais de $140 bilhões no divórcio.,1
"os homens foram castrados pelo politicamente correto e pelo feminismo. essa é a verdade, op. o objetivo sempre foi retirar a masculinidade do homem e transformá-lo em uma bicha afeminada ou em um mangina. o homem é sempre visto como retardado por esta sociedade moderna. até mesmo coisas tipicamente masculinas hoje em dia estão sendo ridicularizados por mulheres. olhe qualquer grupo de universitário e verá isso.hoje em dia, temos homens fracos e submissos, que aceitam todas as humilhações e até chegam a se orgulhar a ficar de quatro pra mulher. falo metaforicamente, por óbvio. devemos ter orgulho as nossas bolas. infelizmente, todo o sistema já castrou os homens. tá na hora de resgatar os valores masculinos.",1
">>61672anão quotado aqui. foi justamente por isso que fiz essa pergunta. na maioria dos casos que vi, depósitos tatuadas são mais libertinas, porém já me relacionei com muitas vagabas que não tinham tatuagens e bancavam a santinha.acredito que a diferença seja que as tatuadas não escondam tanto a safadeza, enquanto as falsas santas colocam umas 3 máscaras diferentes. a real é que o mundo é degenerado. todos são, elas e nós.>>61659também tinha esse complexo. se force a ter mais contato com mais depósitos, até que você tenha experiência suficiente para separar as que estão dando brechas para você, das que simplesmente são educadas.evite ficar pensando sobre o interesse delas. deixe acontecer.>>61666triplos do demônio. meua migo, desculpe… mas essa relação já começou morta. relacionamento a distância sempre dá merda, ainda mais que vocês quase não tinham contato físico. agora ela está saindo da conchinha dos pais, indo se aventurar pelo mundo. vai conhecer novas pessoas e ter contato com outro homens diariamente. você não pode impedir isso. você não gosta dela, você só é carente porque nunca achou nada melhor.pense bem, é realmente isso que você quer para sua vida? ter uma merreca de namoro porcaria, onde você mal tem contato físico, onde você não vive nenhum momento com ela, onde você se relaciona trocando bilhetinhos? você falou:>como eu faço isso sem me humilhar?pense na situação acima, você já está totalmente humilhado. minha sugestão é você cuidar de si mesmo, assim como ela está fazendo. faça uma academia, desenvolva alguma atividade que precise de tempo e dedicação. also, faça um pouco de meditação e acalme sua mente. cuide de você.",1
me bateu uma saudade do hackaviva,0
@netflixbrasil ele militou errado mas é uma militância valida,0
"daily stormer está à procura de um escritor em tempo integral para escrever em inglês, que é do brasil e nativo em português.o salário começa em us $ 444 / mês e aumentará se você for bom.um candidato será trazido como estagiário e feito para aprender a ler, corrigir, criticar e procurar notícias, para escrevê-lo, e usar imagens e memes, a fim de fazer notícias em inglês como o que é encontrado em : @, et filio, et spiritui sancto.",1
"pelo o que eu vi, o fio de garotas de programas não existe mais.então aqui vai minha dúvida:estou marcando de foder uma puta daqui a 48 horas, será a minha primeira vez. protips?>devo levar camisinha?>vou tomar banho lá?>como não gozar tão rápido?>devo bater uma antes?>sem capa?por favor, me ajudem.",1
"não deixa se levar,vou falar de novo amiga fofoqueira é amiga fura olho",0
"“vc que sabe” 

não sei 
nunca vou saber
se eu soubesse não teria perguntado",0
"prezados seguidores,

venho por meio desta, anunciar que de agora em diante me auto-defino como direita radical. dia 30/06 será a última manifestação de rua em q participarei reivindicando as propostas do presidente @jairbolsonaro. +",0
">>26813>você vive em um lugar com estado ausente ou fraco, consegue dinheiro com algum serviço ou produto, paga milicias armadas e toma o controle de um território à força, começa a exigir pagamento das pessoas que moram lá em troca de ""segurança"".não. você vive em um lugar onde o estado proíbe algo, oferece esse algo, precisa de segurança armada para proteger sua mercadoria do próprio estado, e usa essa mesma segurança armada para eliminar seus concorrentes. tudo isso começa porque o estado proibiu um produto e tornou sua produção e comercialização extremamente rentáveis, rentáveis o suficiente para financiar um exército. um bom exemplo disso são as farc.>""mas as pessoas que moram no ancapistão iriam querer respeitar o nap para proteger o sistema, a ética e os valores morais da liberdade, propriedade e não agressão"".não é esse o argumento que é feito, você está batendo num espantalho novamente. o que nós ancaps defendemos é que a justiça privada será suficiente para que as pessoas temam' as consequências de cometer crimes.>no primeiro dia de ancapistão, o território ancap seria invadido por um exército nacional organizado de algum outro paíspra impedir uma invasão, basta que o custo de comprar algo seja menor do que o custo de tomar à força. se a resistência é suficientemente forte pra causar muitas mortes e desencorajar uma invasão, ainda resta a opção de comprar o território. é uma questão de microeconomia muito simples. uma milícia no ancapistão é formada por proprietários locais, e complementada por mercenários. esses proprietários têm um incentivo de investir 100% na defesa da propriedade, afinal, se a guerra for vencida pelo agressor, eles perdem a propriedade e possivelmente a vida. não há nada a perder. um exército miliciano tem 100% de motivação, um exército nacional nem tanto. numa guerra de agressão, eles lutam pela vontade de um tirano. não tem porra nenhuma de ""defesa da nação"" e ""lutar pela família"" numa guerra de agressão. é como a guerra do vietnã, a guerra do afeganistão, a revolução cubana (que foi ganha por guerrilheiros, uma milícia privada). lembrando que sim, um estado nacional que for extremamente insistente pode aniquilar uma população de uma pequena região, mas se isso custar muito mais do que simplesmente comprar o território, é vantagem comprá-lo pacificamente. indo ainda mais longe, após a anexação, a resistência continuaria. já vimos esse cenário em incontáveis ocasiões no passado, e quase sempre a resistência descentralizada se mostrou superior e venceu o conflito. quando um território é anexado, milícias continuam operando descentralizadamente. quando um ""supremo comandante"" é morto, o exército se dispersa. e por último, vacinas. a resposta pra isso é simples. uma vacina protege quem tomou ela. se você quiser se proteger, tome. se não, não tome. quem morrer porque não tomou vacina morreu por sua própria culpa, fim. e se você se incomoda com isso, abra uma instituição de caridade, colete fundos e financie vacinas pra quem não pode pagar. eu talvez até contribua.",1
">>63143sim, e hoje ela me deu uma resposta a altura que me deixou com ódio no coração. não tenho coragem de terminar essa desgraça. eu sei, esse relacionamento está fadado a fracasso, mas meu comodismo e meu emocional tão falando mais alto que o meu racional.",1
deus me perdoe,0
"anões, gostaria da ajuda de vocês. li os relatos e estou inclinado a procurar um psiquiatra amanhã mesmo e começar com os remédios se for preciso.mas relatarei meu caso e seria gratificante se alguém que já teve algo parecido, possa opinar e contar sua história. vamos láeu antigamente:> jogava futebol no mínimo 3 vezes por dia> autoestima boa e me dava bem com mulheres> fazia duas artes marciais (jj e kickboxing)> tinha um corpo maneiro, atlético> era bem inteligente, tirava boas notas> física era matéria preferida e inclusive dava aulas de reforço pros meus amigos> era um ávido leitor (senhor dos aneis, hp e coisas do tipo)eu hoje:> entrei na faculdade (exatas) em 2013> não jogo bola desde 2014> não luto desde 2013> perdi o ""tesão"" de fazer qualquer coisa> engordei e minha autoestima está um lixo total, igual o meu corpo> não tenho motivação nenhuma pra estudar e nem ir nas aulas, sou um ""turista"" que só vai no dia da prova e me fodo na nota.> e por não estudar, me fodo nas matérias> penso que o problema é por causa do curso, que não é pra mim e etc> lembro que essa desmotivação é em todas as áreas. tenho livro de história, filosofia, economia.. que gostava de estudar e hoje não leio mais que 10 páginas.> só fico procrastinando, vendo merda no youtube. tinha que estudar mas fiquei vendo amv de naruto, vlogs e outras merdas que prendem atenção. literalmente, assisto qualquer porcaria em vez de fazer alguma coisa produtiva.> estou há 4 anos sem sair de noite com os amigos pra me divertir. eles já até desistiram de me chamar pra viajar ou fazer qualquer coisa.> fui ao psicologo, diagnosticado com depressão média e ele já queria me colocar sobre medicamentos (recusei, tenho medo de viciar e/ou ficar lesado), além de ter me encaminhado pra endocrinologista.> vou ao endocrino, faço exames e sou diagnosticado com problema de tireoide. estou tomando puran t4.> nada mudou ainda, continuo o mesmo lixo.eu estou angustiado com essa minha situação, eu chego a chorar de raiva de mim mesmo, sempre penso: ""vou começar a fazer exercicio, estudar, mudar de vida…"" ai 5 minutos depois que começo, eu paro, bate a desmotivação.eu estou completamente diferente do que eu era, estou cada vez mais me afundando, eu sinto que não é normal o que estou passando. será que buscar um psiquiatra pode ser uma solução?ponto positivo até agora: não cogito me churrascar no banheiro, só penso em melhoria em vez de suicidio. mas tá foda buscar essa melhoria e tenho medo de começar a surgir ideias de churrasco.",1
">>62443um bom psicólogo pode ajudar. eu não estou brincando ou exagerando. eu passei por algo bem parecido e foi isso que me ajudou pra caralho.""saber que o pessoal vai me tirar de otário por ter assumido compromisso com uma mulher pra consumo da rapaziada me dá asco.""você internalizou a repulsa dos outros pra si mesmo (seres humanos são naturalmente sociais, e as nossas opiniões e crenças nunca são 100% nossas, apenas parcialmente), e precisa enfrentar isso, ou vai passar a vida sendo escravo da opinião alheia e se enfiando no quarto por causa disso.se ela não estiver te traindo, é isso que importa, é a condição mínima pra você se dar ao trabalho de manter a relação. de resto, procurar ajuda profissional pra lidar com isso que você chama de ""falta de estrutura"" pra aguentar a sensação de ser ""retroativamente cornoado"" seria interessante, de verdade.eu faço psicologia como curso. psicoterapia não é só pra doido, é pra lidar com qualquer situação que você esteja incapacitado de vencer sem auxílio.dependendo de onde você mora, podem ter psicólogos bons e baratos, às vezes tem consultas gratuitas em universidades.",1
"de: perder é normal 
para: chance de jogar mundial

porque toda mudança começa na mentalidade. ",0
"estou tentando evitar ao máximo pão, massas e açúcar, mas não posso evitar arroz e feijão, por ser uma das minhas únicas comidas junto com ovo e salada.isso pode prejudicar muito a minha dieta low carb? comer arroz, feijão, frango, ovo e salada todos os dias?",1
hm kkk bjs,0
@doidinhamacedo me deixa puta,0
u!!! ,0
a vibe desta música é tão nice!!!!,0
"senador nelsinho no senado parece aquele deputado do impeachment, o que falou tanto do pai, da honestidade que aprendeu, coisa e tal, e dias depois o pai foi preso por corrupção.",0
">>29433marxistas foram tão geniais que ao mesmo tempo foram muito burros. destruíram a família e deixaram as merdalheres dependendo totalmente do estado.até aí, ok. só que o mundo não está se encaminhando pro comunismo global e sim para um capitalismo cyberpunk.as que mais se foderam foram as merdalheres, kek. até quando seus planos dão certo, seus objetivos dão errado. puro lulz.",1
"eu queria ser como o rock lee, motivado e sem filosofias de vida derrotistas. ele deixou de lado tudo o que achavam sobre ele e seguiu até o seu objetivo, o conquistando. mas sei lá, final feliz pra mim é coisa de ficção. motivação e persistência não é tudo, eu posso não conseguir, ou tudo isso pode ser uma justificativa da minha preguiça. só consegui beijar uma mulher na vida, que dá em cima de mim as vezes mesmo estando namorando. me lembro até hoje, eu andava com ela e mais uma amiga, eu desde criança gostava dela. eu era um beta, lembro que uma vez ela me chamou para dançar quadrilha com ela, todo mundo da escola comemorou comigo, eu lembro que até queriam comprar um refrigerante pra comemorar, kek. no dia da quadrilha ela disse que não queria mais dançar comigo e foi com outro cara. as pessoa que eu mais tenho intimidade é o meu primo, um cara com seus quarenta anos que tem uma fobia social fora do normal, fala em um tom de voz quase inaudível, mas só se solta na minha presença. eu estou já com os meus dezoito anos, ainda não estou no fundo do poço mas da forma com que tudo está fluindo isso será inevitável. entrei em um programa da prefeitura na minha cidade, lá só tem pessoas na minha faixa de idade para baixo. recebo quinhentos reais por mês só pra fazer alguns cursos, meu objetivo é juntar o dinheiro para tirar a minha carta. todo dia quando eu volto eu tenho observado uma depósito em específico, ela não é muito bonita mas é o máximo que eu iria conseguir. sempre me falam que é só chegar, mas eu não sei exatamente como abordá-la. e como vai ser a reação. eu só queria ter um final feliz, passar em um concurso público e ficar a vida inteira vivendo por algo. é um sonho distante, sou muito burro para conseguir.",1
">>62488e por quê te incomoda ela ter mais parceiros que você? é uma fodendo competição por acaso?larga de ser frouxo e aproveite o fato de estar com uma carambola experiente: além de te dar uma canseira na cama (no bom sentido), não vai ficar de cu doce e nem cheia de não-me-toques.",1
">>61204isso não seria um problema se você fosse um amigo melhor. de qualquer forma, pare de ser uma bicha e fale para ele o que te incomoda.",1
@arichkids já aceitou kkkkkkkkkj mas ela até brincou que ia vender a virgindade e ir pra paris,0
