"text","hatespeech_comb"
"Essa procuradora é uma piada.Levou uma lambada do Dr. Miguel Nagib autor do projeto #EscolaSemPartido.em... https://t.co/UnR0zDaYfI","1"
"PRECONCEITO NA WEB!!!! kkkkkkkkk http://t.co/WCh6lK71","0"
"@GABRIELPlNHEIRO 
Tem que mostrar essa matéria para a @veramagalhaes","0"
"Pior recessão DA HISTÓRIA!!!!! 
Parabéns a todos que votaram e defendem o PT! https://t.co/DvPCRtL5SB","0"
"RT @todospasdrogas: O que é um ponto branco na pila de um pedófilo?
Um dente de leite","1"
"@preta_mudiwa amiga calma, isso é uma crítica.","0"
"Mulher, até a Angelina Jolie é traida e vc acha q vc não? Larga de ser otária","1"
"RT @anamr_c: Fufas decentes hj é o nosso dia, mulheres","1"
"Tipo se vc tiver com uma roupa feia ele olha e fala: amiga sua piranha essa roupa ta te deixando mais gorda do q vc ja é","1"
"Ontem batemos o recorde de utilização da palavra 'nabo' na TV Portuguesa.
Não acreditam? https://t.co/MGGG26aPJi#OverdoseDeTourette","0"
"Nonie Darwish é escritora e ex-muçulmana egípcia. Ela não esconde a verdade sobre o islão. Ela lançou mais um... https://t.co/o2gfTV6jtD","0"
"@Estadao Nunca vi esses 'coletivismo' lutando pelos direitos da mulher no islamismo. Elas são só massa de manobra d _ https://t.co/doSd6ScAnu","0"
"@victorctiago Parece mais o FIDEL castro e o CHE matando o povo...mas ainda faltam MILHÕES de mortes pra se igualar","1"
"@ElaineRufo @draguz @sansquer @denisrmonteiro OPA puta desculpa burra pra passar a mão na cabeça de mulher errada","1"
"RT @atletico: Sócios GNV Prata e GNV Branco, continua a venda de ingressos para Atlético x Tupi! Vá ao Horto torcer pelo #Galo: https://t.c _","0"
"POIS É, ATÉ UM CONTINENTE JÁ APARECEU
E O PAI DAS FEMINISTAS NÃO
 #JoaquinResponde https://t.co/46OhFkUegV","0"
"bom, vou dormir pq ao contrário do chorão eu acordo cedo amanha... FUI","0"
"RT @huntergirl616: tentando intender a idiota do face q  compartilhou a ideia dessa trouxa aff como q da mulher burra na vida,nem deve sabe _","1"
"RT @missnarcisista: Tô amando muito o perfil do @Justiceiro_Sujo. Expondo os justiceiros sociais politicamente corretos mas que na verdade _","0"
"hoje a mulher é linda é amor  etc etc... amanha a mulher é vagabunda puta e burra","1"
"Bom dia !!! Não é a toa que os 'ativistas esquerdopatas' fazem protestos contra o Presidente #TRUMP. https://t.co/rGDze5LWHT","0"
"RT @adoromatarvacas: as crianças estão a ser educadas, se muita gente tivesse sido educada não pensariam que as crianças viram homossexuais _","0"
"SERVE ESSA @BotafogoOficial 
COMPREI DE PRESENTE PRA MINHA PATROA
#diainternacionaldamulher https://t.co/mj6o8CkTWV","0"
"@CapitalismoOP Eitaaa... A ultima vez q tomei foi em sp mesmo. conheço uma doceria q tem de latinha pra vender. só q fica longe d onde moro","0"
"Melania e eu estamos recebendo o Primeiro Ministro japonês Shinzo Abe e a Sra. Abe em Mar-a-Lago em Palm Beach, Fl. _ https://t.co/pPk8M2UuR3","0"
"Isso sim é tratar gay com indiferença... https://t.co/8Lu2ikGhdJ","0"
"~ Ai, fiz 1 piada sexista e machista mas não sou nada disso, vc que é burra e não tem senso de humor ~ FELIZ DIA DA MULHER","1"
"DICA DE FANTASIA BARATA PARA CURTIR O CARNAVAL:
1. MARQUE DE IR EM UM BLOCO
2. NÃO APAREÇA
3. DIGA QUE FOI FANTASIADO DE “PAI DE FEMINISTA”","1"
"a politica brasileira é como um mercado de peixe..o peixe fede, mas as pessoas estão acostumadas com isso..e acham normal.","1"
"@angelicamorango Ixi, nêga, tá em Sampa não? Aqui tá um dia lindo.. Nem sei que tô fazendo em casa acompanhada de uma colica danada.. =)","0"
"refute o que eu falei! Mandar frases nerds de efeito é fácil! https://t.co/IvFhch3338","0"
"Capitalismo não liga pra ninguém, mas ele liberta as pessoas.
Ter oportunidade de negociar é que é a verdadeira li _ https://t.co/9u7tdY201q","0"
"Quando você tem dúvida se hj vai sair de sapatao trevosa ou hetero mocinha @milla_canazar @brendadsbf https://t.co/ExyLcXoCjX","0"
"RT @newdoppelganger: @Estadao que legal esse proselitismo barato sobre muçulmanas. Vamos falar sobre mutilação vaginal também? Falta de dir _","0"
"Feliz dia MULHERES !
E que o SENHOR nos proteja do
Islão no
Brasil !","1"
"@morgannavalente então, mas vc me chamou de assassino
Como faz pra provar agora?","0"
"Não é o próprio governo ao estar sempre  a falar disto que causa mais ruído?? https://t.co/LR5O6Az65T","0"
"SEXTA FEIRA É DIA DE BEBER TODAS E PEGAR TRANS
TRANS PORTE ALTERNATIVO (TÁXI, UBER, BONDE, ÔNIBUS...)
SE BEBER NÃO DIRIJA #PAZ","0"
"acho que meu sono resolveu desaparecer junto com o meu dinheiro, espero um dia tê-los de volta","0"
"Então é Natal https://t.co/yuoIhHn8Fz","0"
"RT @TainaGuerreiraa: mãe natureza chora cada vez que homem branco mata árvore pra fazer ingresso de show da anitta","1"
"é como diz o ditado
a liberdade canta pra quem o pt espanta https://t.co/pwZUQ9Tg7g","1"
"RT @imztiffany: Taeyeon - Dilma
- lider da nação
- tem muito hate 
- plastica
- sapatão
- apaixonada no aecio
- mãe de todos
- sua fav é s _","1"
"RT @editorahumanas: Toda mulher deve ser respeitada independente de ser ou não feminista
Só as feministas que dizem lutar pelas mulheres nã _","0"
"RT @ShineAnselmo: TODO ANGOLANO QUER SER POLICIA , MILITAR (FAA) DAQUI A NADA ANGOLA NÂO TERA MAIS GATUNO.","1"
"RT @mundodrogado: Antes o homossexualismo era proibido.Depois passou a ser tolerado.Hoje é normal.Eu vou embora antes que vire obrigatór ...","1"
"@LariInRIO @sanfs_ o meu ta assim tbm","0"
"Magrela feia —_ Sou gorda amor https://t.co/tSU5XTen3m","0"
"RT @lelacohen: @rosangela_bolze @VemPraRua_br @BecaBrix @HumbertoReisJr @HelosaLolo1 @neusamandrade @lenacasagrande @jwbranda ESTAREMOS LÁ _","0"
"Sou responsável pelo que falo, não pelo que você entende. Ok","0"
"Uma #MulherDeVerdade não é adepta a joguinhos infantis. É sincera, fala o que pensa e o que sente.","0"
"Até agora, este é o melhor especial de stand-up que vi em 2017.
Boa surpresa https://t.co/xHDAjmpT7f","0"
"@5gu @caiquepala esse gordo pedante se sentindo","1"
"RT @bazert: (Pssst, essa gente histérica já percebeu que os votos que tudo decidem são anónimos?)","0"
"@gentebranca1 me pergunto como faziam pra passar vergonha antes da internet https://t.co/TDHN41iyDC","0"
"Por que 'APESAR'?? Ser nacionalista é oposto a ter esperança e união?? 
Forcem mais a barra que tá pouco!! Jornale _ https://t.co/NdzF8y2oj8","0"
"é tanta caloura sapatão que vai ter apresentações de voz e violão na cantina durante os intervalos","1"
"@pensaporti @pedrotmota Acho que a irmã da minha namorada está a falar contigo","0"
"RT @Geraldo60885732: Essa putaria deveria ser investigada pela polícia. https://t.co/gAUCin3iPH","0"
"meu pai veio me perguntar por que mulher é tão burra pra ter filho nova (adolescentes e tal), dei minha opinião e agora ele ta brabo comigo","1"
"@STF_oficial como sempre o privilégio branco é visto","0"
"Fotos inéditas de um rapaz de bem desavisado que viu metade do programa #AmorESexo antes de desligar a TV https://t.co/4BcJhhroW5","0"
"Os refugiados estao todos a vir para a minha terra noto logo que nao e de cá mas eles sentem se bem acolhidos cá","1"
"@vanzkafka pra mesmo qdo a gente estiver brigado, eu lembrar que amo ela :)","0"
"A entrevista mais longa do Super Bowl com @oreillyfactor hoje à noite às 8:00 PM (0:00 [BR]). Divirta-se! https://t.co/2wVSIjP7oI","0"
"@FlavioBolsonaro  responde as críticas do @MBLivre, @mamaefalei e @Desesquerdizada e fala umas verdades
https://t.co/qcMpKlusku","0"
"Apresento-vos o meu missil, AEN17.
Totalmente dirigida para Angola sem dó e piedade! Se Angola não é nossa, mais va _ https://t.co/1eA3Rzkjej","1"
"'@LucianoHuck vai ao Líbano ajudar refugiados'
O mesmo q fechou uma praia em Angra e fez dela propriedade privada pra pobrezada não entrar","0"
"Sacanagem é chegar no orfanato cantando: UUHH PAPAI CHEGOU, UUHH UUHH PAPAI CHEGOU","0"
"Não sabem fazer conta direito mas dar o cu já sabem bem https://t.co/exmihM6cmY","1"
"RT @carolinaamatos: 'Quem não conheça as fufas que as compre' foi a melhor frase que disse hoje, fds","1"
"A Senadora do Paraná mandou você Mulher, fazer greve de sexo. #FelizDiaInternacionalDasMulheres https://t.co/t0R0x7seoR","0"
"A imagem que define o que são esquerda e direita:
Esquerda = vagabundo mascarado.
Direita = patriota com a bandeir _ https://t.co/yDs4P8MdA4","1"
"@sapo o que é que andaste a fumar?!","0"
"Feliz dia do amigo que faz escolhas erradas!","0"
"RT @pauloap: Agora o monstro peludo é a mulher https://t.co/VvzEDumyVD","0"
"RT @GABRIELPlNHEIRO: Franceses saíram pra protestar a favor da Le Pen e dos candidatos de direita https://t.co/KPBifPO2oz","0"
"Claro que sim, é só vc não ser um babaca nerds, um valentão da rede, uma mulher imbecil, um hipster freak ou viciado em celebridades.","1"
"@Ricardohdc po ai mulher burra msm... mas se ta ligado que estagio vc n arruma ne  termina a escola daqui 3 meses","1"
"@Estadao @Emais_Estadao @MichelTemer 'internautas'  as feminazis que são capacho da esquerda!!!","1"
"Santa Hipocrisia. O Filme vencedor do #OSCAR de melhor filme estrangeiro, é do $Irã, sim aquele _ https://t.co/uypbJWFFk8","0"
"RT @BolsonaroZueroo: Porque sou a favor do Bolsonaro #Bolsonaro2018 https://t.co/cdiM9hlM8l","0"
"Odeio mulher burra","1"
"@mvrcvsboyy dei um pulo no teu Twitter pra entender melhor a tua visão de evolução, tu não és culpado (quando cresc _ https://t.co/BQzkcCPntq","0"
"se tem uma coisa que eu odeio começa com 'PRE' e termina com 'TO' isso mesmo preconceito","1"
"A mulher é engenheira nuclear e consegue ser boa na cozinha puta merdaaaaa #MasterchefBR","1"
"@Curate_Angola e não tem segredo, basta explicar a elas q o amor n tem limites de raças, etnia, género, físico e etc. isso é que é educar","0"
"@juancosta473 @YouTube Oxi.... hauhauha e o que tem a ver ? quer dizer que nao acontece isso mais ???","1"
"Muda pra Gata ou Musa do Figueirense. Tudo a ver https://t.co/QSc8bZTFaG","0"
"Ih olha o omi branco querendo falar pra mulher qual o papel dela https://t.co/DwUjpan0Ht","0"
"Bastaram 4 anos pra 'mudança' acontecer. https://t.co/09a2spa316","0"
"Fora que só tem frangas ali. Bombadinhos chiliquentos, gays que exploram suas condições e pedaços de carne para a massa carcerária!","1"
"RT @gentemagra1: não tenho preconceito, até tenho amigas gordas, adoro sair com elas chamo mais a atenção rsrsrsrs","1"
"RT @JOAQUINVOLTOU: ESSE P.S.G. É UM SÃO CAETANO QUE FALA FRANCÊS","0"
"nao deu pra carregar meu passe pq a mulher do setuf eh uma burra","1"
"Ser liga tem mulher que ser faz de burra","1"
"Aaaaaa Turma de 9 homens e eu, o prof fala de cabo sapatão (conector femea femea) e todo mundo olha pra mim","1"
"Juntos vamos #RenovarPortugal. A hora é de mudança. Nacionalismo é solução!
#PNR #JoséPintoCoelho #AutárquicasPNR https://t.co/d4pd6YQufN","0"
"RT @cusBahia: Dossiê: Sapatão é revolução! Existências e resistências das lesbianidades nas encruzilhadas subalternas. Até 26/03 https://t. _","1"
"@karlariane eu tiro o print pq se pegar link é perigo de apagarem","0"
"@AlentejanoD86 por falar em abafar, sabes se o Jesus janta hoje com o Palhinha?","0"
"Portugal precisa do PNR, mas o PNR precisa de si!
https://t.co/gPauBZ0R6phttps://t.co/TkliSj70rQ","0"
"RT @editorahumanas: Amor e Sexo é um Encontro com Fátima Bernardes um pouco mais ligth...","0"
"ia perguntar se o dia Internacional da mulher era no mundo todo mas parei um pouquinho pra pensar e agora eu to me sentindo BURRA","0"
"@milanuness Eu! Tive problemas sérios! Pq meu cabelo era crespo. Diziam que eu tinha piolho e isso causou traumas, acredita?","0"
"Amigo, acredite, vc pode cortar seu pau fora em defesa do feminismo, que nem assim seu discurso de feministo vai te garantir uma foda hoje..","1"
"Vou boicotar o Habibs
Mãe tô com fome
Big Mac 21,99
Whooper 22,99
Esfiha 0,99
Filho, quer de queijo ou de carne?","0"
"Acabei de fazer esses casos para minha cunhada vascarpim ..Minhas férias estão rendendo arte.  Rsss https://t.co/zK8yKtycfV","0"
"@CapitalismoOP deve ter uma feminista peluda e bem gorda trabalhando no foicebook...","1"
"POPULISTAS
Novo termo da moda da mídia que obviamente nem sabe direito o que significa. Importante msm é 'comparar _ https://t.co/rT0Xl5DKWy","0"
"freixo vai legalizar a maconha gente nao deixem isso acontece #LugarDeMaconheiroÉNaCadeia","0"
"Sugestões para um 2010 melhor: menos Calcinha Preta nas rádios, aliás, sem calcinha é bem melhor!","0"
"Não basta o RJ na escória..ainda vai causar confusão em São Paulo @misscaviar @FussballSehr @ajulysantos _ https://t.co/rg9144sSds","0"
"RT @Maggot00_: @HumorNegroo ai denunciei essa porra mercado da fé fora daquii hahahah","0"
"@NetMane olhe que não. Eles sofrem metamorfoses e regressam sempre no dia seguinte escondidos num ovo.","0"
"Torcedores do Inter agora https://t.co/ujlrKGvlpD","0"
"Antes de irem atrás de notícia requentada, desonesta intelectualmente da @RevistaISTOE assista este vídeo do _ https://t.co/9wGGXxs1GD","0"
"RT @LeNaZZo @homemdeverdade nao paga pau. Ele paga uma mocreia para tirar a zica.","1"
"'todo mundo que não concorda comigo é Hitler' https://t.co/vNBUWc3jvt","1"
"@_NandaSilva_ bom dia sapatao da minha vida","1"
"@wesley_alcapone só sei q é um bosta","1"
"Não basta os escandalos de corrupção..mas tudo de ruim que o marxismo trouxe tambem. https://t.co/ssIPLIF918","0"
"RT @JoanaLSampaio: Ontem o espetáculo foi do caralho, só tenho isto a dizer.
#OverdoseDeTourette","0"
"Todo dia eu to bem sapatao sim, mas tem dias que eu me surpreendo","1"
"E @pvedova tentou fazer do fracassado protesto de imigrantes um sucesso, enqto @RedeGlobo 'esqueceu' dos protesto anti-desarmamento ontem.","0"
"Indignada com esse canalhas!!! Falando do Silas Malafaia como se a notícia fosse recente! 
O Pastor já mostro sua inocência!","0"
"@beckttx @spacelerman eu pensei q era uma youtuber sapatao","1"
"Mas não há muito o que Berlim possa fazer para responder ao insulto. A Alemanha depende de Erdogan para frear o fluxo de refugiados.","0"
"E ainda tem umas 4 ou 5 tatoo 
VAMO CASAR?","0"
"'@AleMagnnusb: @gentebranca1 Seu perfil fala mau de gente branca e eu sou racista? Coerência, cadê?' http://t.co/3LqJR2tN85","0"
"@CapitalismoOP pois é... nunca gostei dela.. corrupta","0"
"Tchau gayzada!
Tchau Campinas!
#PartiuSp","0"
"@UniGEmpath Sim, mas sabes que no islão isto é sinal de submissão e de inferioridade face ao homem, quer as mulheres usem porque querem ou n","0"
"@carlos_jb_paz apenas constatação de uma fuga aNunciada ;)","0"
"RT @JhullyMelo79: gnt, eu n sou sapatao , esse viado q me chama assim kkk","1"
"Impedir os imigrantes ilegais é meramente cumprir uma promessa da minha campanha. Membros de gangues, traficantes e _ https://t.co/N6dylY90tZ","0"
"O que é o Globalismo? - Lauren Southern
Muita gente ainda não compreende....
https://t.co/mg2bBTXGQZ","0"
"@ronizeppelin pode crer, ofensivo isso","0"
"Que raiva daquela mulher burra, deu os pontos igual a cara dela","1"
"Meu Deus, o cara tá JUSTIFICANDO ATAQUES TERRORISTAS CONTRA INOCENTES, PORRA!!! Tem que prender um vagabundo desses _ https://t.co/HyIlOOMAgc","1"
"Só msm a @RedeGlobo e @showdavida p/ fazerem uma matéria falando mal do presidente das Filipinas que quer combater c/ mais rigor... O CRIME!","0"
"@homemdeverdade manda um salve pra imagem da semana: nós te amamos!!!
- http://bit.ly/7ueBM0","0"
"@Estadao Caetano vive de dinheiro público sem nunca ter sido eleito ou passado em concurso público. https://t.co/0uR63G0nJ1","0"
"RT @BolsonaroSP: Alô STF, vamos indenizar o @BorrachinhaMMA e sua equipe também, bem como todos os trabalhadores do Brasil vítimas dos pres _","0"
"Essa piada merece o Twitter não aquela outra rede social","0"
"O CDS avisou Centeno das 'consequências penais' de mentir ao Parlamento. Mas está algum ex-deputado do CDS preso?!...","1"
"@amandassini não aceita que ela fique na mesma tecla de racismo que só ela sofre, isso é silenciamento","0"
"finalmente essa gorda velha saiu 
agora é só esperar o dólar abaixar pra eu poder ir pra disney sem preocupações","1"
"RT @direitafalando: meritocracia existe n ta vendo aquele nordestino que pedalou 29 km nadou mais 41km e se formou em direito","0"
"Que bonito!... os democratas a mostrarem (de cara tapada) o seu mau perder. Gentalha selvagem!
#TrumpInauguration https://t.co/zjrXHIuVRM","0"
"Acções do #PNR #Oeiras e #Cascais
https://t.co/dIjJz60vAO#RenovarPortugal #Portugal https://t.co/MuhqghYZTR","0"
"@homemdeverdade quando vacila assume rapidamente a responsabilidade e paga o erro com humor!","0"
"Desde que eu fiz 30 anos, me chamou de tio não ganha esmola","0"
"vsf mano, eu fico perplexo de ver umas desgraça apoiar umas coisas tão absurdas, um dia é negro falando que quem salvou o negro foi o branco","1"
"bom dia comendo pão branco","0"
"RT @Pacheco0o: Não sei qual o feeling mas nunca fecho a porta a #racharlenhapreta #overdosedetourette","0"
"@franmoraes2 Pronto.. É nui aqui tb! =)","0"
"RT @alex_borges: 'O problema do mundo são os brancos velhos europeus com raiva', diz o militante da ideologia criada pelo branco velho euro _","1"
"Hoje eu vou na igreja","0"
"homenagear torturador? pode
chamar outro deputado de viado boiola queima rosca? claro que pode
cuspir no mito? NUNCA","1"
"Querendo comer umas seguidoras ae","1"
"acabei de pagar 20 reais em um carregador pq esqueci o meu. já começando o dia se sentindo a mulher mais burra do brasil","1"
"E eu que só vi agora o fato que o CeeLo Green levou ontem aos Grammys?!
Que bonita homenagem que ele fez https://t.co/uR85Cy99sb","0"
"@thayshit kajskajsj a florzinha é menos sapatão então sou eu, volto só em abril mas se quiser me sequestrar antes disso eu agradeceria","1"
"iggy  é mto melhor q nicki Minaj PFVRR","0"
"RT @obonholmer: Fazer pesquisa de intenção de voto pro Bolsonaro no Twitter é igual fzr o msm pro Trump no Tumblr.","1"
"RT @_CartolaFC: Depois deste jogo, não duvido de nada. Angola ganhava de 4x0 até os 80 minutos.
Angola 4X4 Mali (10/01/2010)  https://t.co _","0"
"@miguelcarvalhu 
Cada um é livre de escolher o tipo de erros. Se prefere os novos erros está no seu direito. Mas por mim prefiro evitá-los.","0"
"RT @InformGlorious: Mitroglou (@KMItroglou) marcou o golo da vitória por 0-1, sobre o SC Braga. @SLBenfica - @SLBenfica_EN https://t.co/MmO _","0"
"@CTonsa 
HAHAHAHAHAHAHA
E não é que parece?","0"
"parabéns a essas meninas... kkkkk @otmar03 @InesBolsonaro @editorahumanas @GABRIELPlNHEIRO @pauloap @pedrinhu_tecix https://t.co/Hlg6QVzGBF","1"
"SEGUNDO ISLÃO É ASSIM KKKK https://t.co/FheW5s8EPz","0"
"@mvsmotta hahahahahahaha duvido que vou viver pra isso","0"
"RT @MoceDumCabreste: Com este champô não ganhas caspa, não ganhas oleosidade, não ganhas pontas espigadas, não ganhas nada! https://t.co/Sd _","0"
"UMA MOÇA ACIMA DO PESO SE APROVEITOU DO MEU AVANÇADO ESTADO DE EMBRIAGUEZ E ME AGARROU. VOU NA DELEGACIA
PRESTAR QUEIXA. #CarnavalSemAssédio","1"
"e eu odeio gente chique #iDontUseShoes http://t.co/fGhCrHD24x","1"
"mulheres não perdoam a Gleisi Hoffman... kkk   #DiaDaMulher FELIZ DIA DAS MULHERES Dia Internacional da Mulher _ https://t.co/Ds4clESrUj","0"
"RT @Leandrochargers: @direitafalando @luisanunes Pelo fim da corrupção dos outros e a continuidade das minhas voto SIM","0"
"Minha mãe acabou com a ideia de foto que eu tinha pensado quando enfiou o lençol Branco não sei onde, mas ela até que ficou legalzinha","0"
"Poster Fotográfico Panorâmico da Serra do Corvo Branco do fotografo  Seergio Giusti.  Veja mais:... https://t.co/2s82d0Ce1v","0"
"Significado das minhas tatuagens: significa q são tatuagens. Fim. https://t.co/kf6mZJHXy0","0"
"Vou falar viu. Tem mulher que é muito burra e não dá valor naquilo que tem!! PQP!","1"
"pt é de satanás lembrem-se sempre https://t.co/vmotieIgIR","1"
"RT @julyarosas: O que essa mulher está falando ??? Eu tô esperando pela comida e ela falando sobre sla. Me senti burra #MasterChefBR","0"
"Nos primeiros 30min da Red Carpet só vemos a malta que ninguém se lembra quem é.
Ou como se diz em Portugal, 'vencedores do Ídolos'
#Oscars","0"
"Voce que já se sensibilizou com a causa dos refugiados e achou que não podia ajudar porque eles estão muito longe... https://t.co/wy5aIb9EgE","0"
"ACTUALMENTE AQUELE RETARDADO QUE DEITOU NUMA BANHEIRA DE NUTELA #JOAQUINRESPONDE https://t.co/JdCLqC5zmY","1"
"Recordando um 'desafio' na minha candidatura nas 'Intercalares Lisboa 2007'.
Obtive 0,8%. 
Objectivo para 2017: 2%.
https://t.co/XC1RTlxwx6","0"
"Acabámos de adicionar mais uma data à Tour 'Overdose de Tourette':
24 Fev - Ericeira.
Bilhetes na FNAC e aqui: _ https://t.co/2zTqP5irCM","0"
"Viseu originou esta situação.
Tenho a ligeira impressão que o Porto vai agravar o que vêem.
Overdose de Tourette, 2 _ https://t.co/bqLjJLAW7L","0"
"ACEITE OS CHIFRES
#JoaquinResponde https://t.co/2wOKNG11RS","0"
"@pauloap vc nao consegue mais ver um filme sem que tenha politica no meio","0"
"Fiquei sem internet ontem o dia inteiro e até descobri q tem um pessoal aqui em casa até sentei com eles na mesa acho q é minha família","0"
"#SerMulherÉ lutarmor por um Brasil de direita, com mais segurança nas ruas","0"
"RT @daijikishigami: E se não for bonita ele não estupra porque não merece. Elas ficam muito tristes, imaginando esse varão nú. https://t.co _","1"
